perm,best_gates,rep_perm,task,orbit_size
0 1 2 3 4 5 6 7,0,0 1 2 3 4 5 6 7,0,1
0 1 2 3 4 5 7 6,1,0 1 2 3 4 5 7 6,1,12
0 1 2 3 4 7 6 5,1,0 1 2 3 4 5 7 6,1,12
0 1 2 3 5 4 6 7,1,0 1 2 3 4 5 7 6,1,12
0 1 2 3 6 5 4 7,1,0 1 2 3 4 5 7 6,1,12
0 1 2 7 4 5 6 3,1,0 1 2 3 4 5 7 6,1,12
0 1 3 2 4 5 6 7,1,0 1 2 3 4 5 7 6,1,12
0 1 6 3 4 5 2 7,1,0 1 2 3 4 5 7 6,1,12
0 3 2 1 4 5 6 7,1,0 1 2 3 4 5 7 6,1,12
0 5 2 3 4 1 6 7,1,0 1 2 3 4 5 7 6,1,12
1 0 2 3 4 5 6 7,1,0 1 2 3 4 5 7 6,1,12
2 1 0 3 4 5 6 7,1,0 1 2 3 4 5 7 6,1,12
4 1 2 3 0 5 6 7,1,0 1 2 3 4 5 7 6,1,12
0 1 2 3 4 6 5 7,3,0 1 2 3 4 6 5 7,2,12
0 1 2 3 7 5 6 4,3,0 1 2 3 4 6 5 7,2,12
0 1 2 5 4 3 6 7,3,0 1 2 3 4 6 5 7,2,12
0 1 2 6 4 5 3 7,3,0 1 2 3 4 6 5 7,2,12
0 1 4 3 2 5 6 7,3,0 1 2 3 4 6 5 7,2,12
0 1 7 3 4 5 6 2,3,0 1 2 3 4 6 5 7,2,12
0 2 1 3 4 5 6 7,3,0 1 2 3 4 6 5 7,2,12
0 4 2 3 1 5 6 7,3,0 1 2 3 4 6 5 7,2,12
0 7 2 3 4 5 6 1,3,0 1 2 3 4 6 5 7,2,12
3 1 2 0 4 5 6 7,3,0 1 2 3 4 6 5 7,2,12
5 1 2 3 4 0 6 7,3,0 1 2 3 4 6 5 7,2,12
6 1 2 3 4 5 0 7,3,0 1 2 3 4 6 5 7,2,12
0 1 2 3 4 6 7 5,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 4 7 5 6,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 5 6 4 7,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 5 7 6 4,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 6 4 5 7,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 6 5 7 4,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 7 4 6 5,2,0 1 2 3 4 6 7 5,3,48
