task,perm,orbit_size,n_cycles,best_gates,best_count,space,parts
0,0 1 2 3 4 5 6 7,1,0,0,1,1,1
1,0 1 2 3 4 5 7 6,12,1,1,1,1,1
2,0 1 2 3 4 6 5 7,12,1,3,4,4,1
3,0 1 2 3 4 6 7 5,48,1,2,3,9,1
4,0 1 2 3 5 4 7 6,12,2,2,2,2,1
5,0 1 2 3 5 6 7 4,24,1,3,8,40,1
6,0 1 2 3 5 7 4 6,12,1,3,4,4,1
7,0 1 2 3 7 6 5 4,6,2,4,8,32,1
8,0 1 2 4 3 5 6 7,4,1,5,36,36,1
9,0 1 2 4 3 5 7 6,24,2,6,72,72,1
10,0 1 2 4 3 6 5 7,24,2,6,24,288,1
11,0 1 2 4 3 6 7 5,48,2,7,240,648,1
12,0 1 2 4 5 3 6 7,24,1,4,12,184,1
13,0 1 2 4 5 3 7 6,48,2,5,24,368,1
14,0 1 2 4 5 6 3 7,48,1,5,15,880,1
15,0 1 2 4 5 6 7 3,48,1,4,7,472,1
16,0 1 2 4 5 7 3 6,48,1,4,2,472,1
17,0 1 2 4 5 7 6 3,48,1,3,4,109,1
18,0 1 2 4 7 3 5 6,48,1,6,15,4096,1
19,0 1 2 4 7 3 6 5,48,1,5,11,880,1
20,0 1 2 4 7 5 6 3,24,1,4,12,184,1
21,0 1 2 4 7 6 5 3,24,2,5,16,1472,1
22,0 1 2 5 3 4 7 6,48,2,5,24,368,1
23,0 1 2 5 3 6 4 7,48,1,5,15,880,1
24,0 1 2 5 3 6 7 4,48,1,6,15,4096,1
25,0 1 2 5 3 7 4 6,48,1,4,2,472,1
26,0 1 2 5 4 3 7 6,24,2,4,8,8,1
27,0 1 2 5 4 6 3 7,16,1,4,3,48,1
28,0 1 2 5 4 6 7 3,48,1,3,2,40,1
29,0 1 2 5 6 3 4 7,48,2,4,8,8,1
30,0 1 2 5 6 3 7 4,48,2,5,26,72,1
31,0 1 2 5 6 4 3 7,48,1,5,10,40,1
32,0 1 2 5 6 4 7 3,48,1,4,4,17,1
33,0 1 2 5 6 7 3 4,48,1,4,2,176,1
34,0 1 2 5 6 7 4 3,48,2,3,6,18,1
35,0 1 2 5 7 3 4 6,48,2,5,26,72,1
36,0 1 2 5 7 3 6 4,24,2,4,2,32,1
37,0 1 2 5 7 4 3 6,48,1,4,2,176,1
38,0 1 2 5 7 4 6 3,24,1,3,4,40,1
39,0 1 2 5 7 6 3 4,48,2,5,4,384,1
40,0 1 2 5 7 6 4 3,48,1,4,5,176,1
41,0 1 2 7 3 4 5 6,48,1,4,7,472,1
42,0 1 2 7 3 6 5 4,24,2,5,16,1472,1
43,0 1 2 7 5 3 4 6,48,1,4,4,17,1
44,0 1 2 7 5 3 6 4,24,1,3,4,40,1
45,0 1 2 7 5 4 3 6,48,2,3,6,18,1
46,0 1 2 7 5 4 6 3,24,2,2,2,2,1
47,0 1 2 7 5 6 3 4,48,1,4,5,176,1
48,0 1 2 7 5 6 4 3,48,2,3,6,18,1
49,0 1 3 2 5 4 6 7,6,2,2,2,2,1
50,0 1 3 2 5 4 7 6,12,3,3,6,6,1
51,0 1 3 2 5 6 4 7,48,2,3,6,18,1
52,0 1 3 2 5 6 7 4,48,2,4,16,80,1
53,0 1 3 2 5 7 4 6,48,2,4,8,8,1
54,0 1 3 2 5 7 6 4,48,2,3,6,18,1
55,0 1 3 2 6 7 4 5,24,3,3,6,6,1
56,0 1 3 2 6 7 5 4,24,2,4,16,80,1
57,0 1 3 2 7 6 4 5,24,2,4,16,80,1
58,0 1 3 2 7 6 5 4,24,3,5,16,96,1
59,0 1 3 4 2 6 5 7,48,2,5,6,1472,1
60,0 1 3 4 2 6 7 5,48,2,6,78,3312,1
61,0 1 3 4 2 7 5 6,48,2,6,78,3312,1
62,0 1 3 4 2 7 6 5,48,2,5,24,368,1
63,0 1 3 4 5 2 6 7,12,1,5,32,2664,1
64,0 1 3 4 5 2 7 6,24,2,6,64,5328,1
65,0 1 3 4 5 6 2 7,48,1,4,4,472,1
66,0 1 3 4 5 6 7 2,48,1,5,6,2032,1
67,0 1 3 4 5 7 2 6,48,1,5,7,181,1
68,0 1 3 4 5 7 6 2,48,1,4,4,472,1
69,0 1 3 4 6 2 5 7,48,1,6,30,11952,1
70,0 1 3 4 6 2 7 5,48,1,5,6,5256,1
71,0 1 3 4 6 7 2 5,48,2,4,8,218,1
72,0 1 3 4 6 7 5 2,48,1,5,6,2032,1
73,0 1 3 4 7 2 5 6,48,1,7,38,52992,1
74,0 1 3 4 7 2 6 5,48,1,6,30,11952,1
