delta,final_mean,final_std,best_of_trials,mean_exec_time_s
0.001,251.8,1.6613247725836147,248.0,29.99918513536453
0.002,248.24,1.7951044537853489,242.0,29.45859854698181
0.005,232.34,1.9402061746113495,226.0,28.944540328979492
0.01,201.52,3.226391172812128,192.0,28.082052257061004
0.02,188.44,3.6175129578206073,180.0,27.00254878282547
0.05,204.18,4.9079119796508195,190.0,26.326510379314424
0.1,218.62,6.110286408999166,204.0,26.127933990955352
0.2,232.9,5.757603668193913,220.0,25.693903930187226
0.3,239.14,5.777577346950878,226.0,25.72872258901596
0.5,247.12,6.36440099302361,232.0,25.903468914031983
