AE-QTS parameter sweep | 6-bit problem #1
100 trials x 3000 iterations per config
Total wall time: 68.2 min

        config  delta_theta  num_neighbors  final_avg_gates  final_std  best_gates  worst_gates  median_gates  avg_time_s
C06_d0.010_N20        0.010             20           183.42      2.776         176          192         184.0      189.00
C02_d0.010_N10        0.010             10           183.70      3.051         176          190         184.0       94.02
C07_d0.015_N20        0.015             20           183.92      3.719         178          194         184.0      188.01
C08_d0.020_N20        0.020             20           184.74      3.596         176          194         184.0      186.47
C03_d0.015_N10        0.015             10           185.52      3.276         178          192         186.0       93.04
 C09_d0.010_N6        0.010              6           185.76      3.326         174          194         186.0       56.33
C01_d0.005_N10        0.005             10           185.92      2.667         180          194         186.0       95.80
C04_d0.020_N10        0.020             10           188.44      4.360         178          198         188.0       92.47
 C10_d0.020_N6        0.020              6           192.26      4.780         182          204         192.0       54.01
C05_d0.030_N10        0.030             10           193.18      4.080         186          206         192.0       91.80

Ranked by mean gate count at the final generation (lower is better).
