Generation,d0.010_N6,d0.020_N6,d0.005_N10,d0.010_N10,d0.015_N10,d0.020_N10,d0.030_N10,d0.010_N20,d0.015_N20,d0.020_N20
1,272.5,272.44,270.9,270.68,270.96,270.96,270.38,268.7,268.48,268.96
2,270.5,270.16,268.78,268.96,268.68,268.9,268.48,266.54,266.52,266.62
3,269.18,268.52,267.74,267.66,267.7,267.86,267.78,265.68,265.4,265.3
4,268.14,267.72,266.56,266.82,266.82,267.32,266.7,264.66,264.58,264.64
5,267.02,267.3,266.12,266.14,266.26,266.62,266.02,264.2,264.1,264.1
6,266.16,266.84,265.7,265.68,265.44,265.66,265.4,263.72,263.48,263.48
7,265.92,266.18,265.16,265.38,264.9,265.18,264.48,263.36,263.22,263.12
8,265.4,265.74,264.92,264.7,264.54,264.82,263.74,263.0,262.92,262.48
9,265.26,265.42,264.54,264.34,264.4,264.42,263.34,262.88,262.74,262.12
10,264.98,265.24,264.36,264.1,264.18,264.06,262.96,262.4,262.46,261.64
11,264.54,264.68,264.18,263.96,263.52,263.9,262.74,262.12,262.04,261.18
12,264.34,264.4,263.96,263.8,263.3,263.66,262.42,261.86,261.84,260.96
13,264.2,264.06,263.64,263.66,263.04,263.42,262.08,261.76,261.46,260.5
14,263.94,263.76,263.36,263.34,262.74,263.08,261.78,261.38,261.12,260.26
15,263.78,263.46,263.2,263.06,262.4,262.86,261.44,261.18,260.94,260.06
16,263.58,263.2,262.98,262.88,262.26,262.6,261.08,260.98,260.42,259.72
17,263.38,263.04,262.76,262.68,262.06,262.22,260.84,260.82,260.12,259.56
18,263.32,262.9,262.72,262.64,261.82,262.0,260.76,260.62,260.0,259.06
19,263.14,262.7,262.46,262.42,261.68,261.76,260.48,260.6,259.76,258.96
20,262.94,262.44,262.44,262.26,261.62,261.36,260.12,260.34,259.54,258.78
21,262.84,262.22,262.26,262.04,261.44,261.2,259.64,260.24,259.34,258.52
22,262.8,261.88,262.12,261.86,261.3,261.06,259.46,260.18,259.08,258.24
23,262.64,261.78,262.0,261.8,261.1,260.86,259.3,259.82,259.04,258.06
24,262.48,261.72,261.88,261.56,260.98,260.62,259.16,259.7,258.9,257.8
25,262.38,261.5,261.76,261.5,260.76,260.4,258.8,259.48,258.7,257.56
26,262.22,261.36,261.68,261.42,260.62,260.24,258.6,259.36,258.38,257.36
27,262.16,261.24,261.58,261.22,260.48,259.88,258.38,259.26,258.36,257.14
28,262.12,261.14,261.48,261.1,260.34,259.72,258.1,259.04,258.26,256.94
29,262.02,260.96,261.4,260.94,260.18,259.5,257.96,258.92,258.1,256.74
30,261.88,260.92,261.26,260.84,260.04,259.4,257.68,258.5,258.04,256.66
31,261.8,260.88,261.24,260.68,259.86,259.32,257.54,258.24,257.98,256.46
32,261.66,260.78,261.12,260.62,259.74,259.16,257.42,258.1,257.76,256.26
33,261.66,260.72,261.08,260.54,259.56,259.08,257.1,257.94,257.52,256.12
34,261.6,260.58,260.92,260.38,259.5,258.98,256.88,257.78,257.4,255.96
35,261.48,260.5,260.92,260.1,259.4,258.82,256.86,257.52,257.18,255.86
36,261.4,260.42,260.86,259.98,259.2,258.66,256.62,257.34,257.0,255.62
37,261.3,260.18,260.68,259.74,259.1,258.42,256.36,257.24,256.82,255.46
38,261.24,260.14,260.58,259.58,259.08,258.28,256.16,257.14,256.7,255.34
39,261.1,260.04,260.5,259.56,259.06,258.1,256.0,257.08,256.52,255.2
40,261.0,259.84,260.34,259.32,258.94,258.06,255.88,257.08,256.42,255.0
41,260.82,259.76,260.24,259.2,258.66,257.84,255.62,256.88,256.18,254.8
42,260.78,259.52,260.14,259.2,258.48,257.72,255.44,256.8,256.04,254.64
43,260.6,259.36,260.1,259.0,258.42,257.58,255.34,256.72,255.94,254.32
