# started 2026-08-30 22:00:05
22:02:51 | d=0.010 N=20 | trial  15 | gates= 182 |  165.6s | overall 1/1000
22:02:55 | d=0.010 N=20 | trial   1 | gates= 180 |  169.8s | overall 2/1000
22:02:56 | d=0.010 N=20 | trial  26 | gates= 182 |  170.7s | overall 3/1000
22:02:59 | d=0.010 N=20 | trial  17 | gates= 186 |  173.1s | overall 4/1000
22:03:04 | d=0.010 N=20 | trial   2 | gates= 186 |  178.5s | overall 5/1000
22:03:07 | d=0.010 N=20 | trial   5 | gates= 182 |  181.3s | overall 6/1000
22:03:08 | d=0.010 N=20 | trial  11 | gates= 180 |  182.8s | overall 7/1000
22:03:09 | d=0.010 N=20 | trial   9 | gates= 186 |  183.8s | overall 8/1000
22:03:11 | d=0.010 N=20 | trial  28 | gates= 184 |  185.0s | overall 9/1000
22:03:11 | d=0.010 N=20 | trial  27 | gates= 182 |  185.1s | overall 10/1000
22:03:11 | d=0.010 N=20 | trial   4 | gates= 176 |  185.9s | overall 11/1000
22:03:12 | d=0.010 N=20 | trial  25 | gates= 180 |  186.7s | overall 12/1000
22:03:13 | d=0.010 N=20 | trial   7 | gates= 188 |  188.1s | overall 13/1000
22:03:15 | d=0.010 N=20 | trial  14 | gates= 182 |  189.1s | overall 14/1000
22:03:17 | d=0.010 N=20 | trial  10 | gates= 186 |  191.1s | overall 15/1000
22:03:17 | d=0.010 N=20 | trial  12 | gates= 184 |  191.4s | overall 16/1000
22:03:17 | d=0.010 N=20 | trial  21 | gates= 184 |  191.4s | overall 17/1000
22:03:18 | d=0.010 N=20 | trial  16 | gates= 186 |  192.4s | overall 18/1000
22:03:19 | d=0.010 N=20 | trial  18 | gates= 184 |  193.3s | overall 19/1000
22:03:19 | d=0.010 N=20 | trial   6 | gates= 182 |  194.0s | overall 20/1000
22:03:20 | d=0.010 N=20 | trial  20 | gates= 188 |  194.3s | overall 21/1000
22:03:21 | d=0.010 N=20 | trial  23 | gates= 182 |  195.4s | overall 22/1000
22:03:22 | d=0.010 N=20 | trial  22 | gates= 186 |  196.2s | overall 23/1000
22:03:22 | d=0.010 N=20 | trial  19 | gates= 184 |  196.8s | overall 24/1000
22:03:23 | d=0.010 N=20 | trial   3 | gates= 184 |  197.9s | overall 25/1000
22:03:26 | d=0.010 N=20 | trial   8 | gates= 186 |  200.4s | overall 26/1000
22:03:27 | d=0.010 N=20 | trial  24 | gates= 182 |  201.2s | overall 27/1000
22:03:28 | d=0.010 N=20 | trial  13 | gates= 182 |  202.0s | overall 28/1000
22:05:45 | d=0.010 N=20 | trial  31 | gates= 184 |  168.4s | overall 29/1000
22:05:48 | d=0.010 N=20 | trial  29 | gates= 186 |  177.3s | overall 30/1000
22:06:02 | d=0.010 N=20 | trial  40 | gates= 186 |  169.4s | overall 31/1000
22:06:03 | d=0.010 N=20 | trial  32 | gates= 182 |  184.8s | overall 32/1000
22:06:04 | d=0.010 N=20 | trial  42 | gates= 182 |  169.2s | overall 33/1000
22:06:07 | d=0.010 N=20 | trial  34 | gates= 182 |  180.2s | overall 34/1000
22:06:10 | d=0.010 N=20 | trial  33 | gates= 182 |  186.2s | overall 35/1000
22:06:14 | d=0.010 N=20 | trial  47 | gates= 182 |  175.3s | overall 36/1000
22:06:16 | d=0.010 N=20 | trial  35 | gates= 184 |  187.7s | overall 37/1000
22:06:16 | d=0.010 N=20 | trial  30 | gates= 182 |  201.1s | overall 38/1000
22:06:19 | d=0.010 N=20 | trial  53 | gates= 188 |  175.4s | overall 39/1000
22:06:22 | d=0.010 N=20 | trial  39 | gates= 182 |  190.9s | overall 40/1000
22:06:24 | d=0.010 N=20 | trial  37 | gates= 184 |  193.1s | overall 41/1000
22:06:24 | d=0.010 N=20 | trial  38 | gates= 184 |  193.7s | overall 42/1000
22:06:27 | d=0.010 N=20 | trial  41 | gates= 188 |  193.6s | overall 43/1000
22:06:27 | d=0.010 N=20 | trial  49 | gates= 184 |  187.2s | overall 44/1000
22:06:28 | d=0.010 N=20 | trial  52 | gates= 188 |  185.7s | overall 45/1000
22:06:29 | d=0.010 N=20 | trial  36 | gates= 182 |  199.6s | overall 46/1000
22:06:29 | d=0.010 N=20 | trial  46 | gates= 178 |  190.9s | overall 47/1000
22:06:31 | d=0.010 N=20 | trial  48 | gates= 180 |  191.8s | overall 48/1000
