config,delta_theta,num_neighbors,final_avg_gates,final_std,best_gates,worst_gates,median_gates,avg_time_s
C06_d0.010_N20,0.01,20,183.42,2.776,176,192,184.0,189.0
C02_d0.010_N10,0.01,10,183.7,3.051,176,190,184.0,94.02
C07_d0.015_N20,0.015,20,183.92,3.719,178,194,184.0,188.01
C08_d0.020_N20,0.02,20,184.74,3.596,176,194,184.0,186.47
C03_d0.015_N10,0.015,10,185.52,3.276,178,192,186.0,93.04
C09_d0.010_N6,0.01,6,185.76,3.326,174,194,186.0,56.33
C01_d0.005_N10,0.005,10,185.92,2.667,180,194,186.0,95.8
C04_d0.020_N10,0.02,10,188.44,4.36,178,198,188.0,92.47
C10_d0.020_N6,0.02,6,192.26,4.78,182,204,192.0,54.01
C05_d0.030_N10,0.03,10,193.18,4.08,186,206,192.0,91.8
