Generation,5_N10,10_N10,15_N10,20_N10,25_N10,30_N10,40_N10,55_N10,80_N10,120_N10
1,269.9,270.34,269.96,269.78,270.74,269.68,270.18,270.34,270.52,270.86
2,269.2,269.92,269.4,269.06,270.06,269.38,269.7,269.58,269.94,270.44
3,268.68,269.26,268.96,268.62,269.44,268.98,268.72,269.22,269.5,270.08
4,268.02,268.74,268.28,268.2,268.96,268.66,268.3,268.46,269.0,269.42
5,267.48,268.14,268.0,267.62,268.42,268.28,267.96,268.06,268.5,269.0
6,267.1,267.8,267.24,267.0,267.8,267.64,267.58,267.48,268.16,268.52
7,266.52,267.38,266.74,266.36,267.22,267.22,267.0,267.14,267.6,268.02
8,266.08,266.68,266.52,265.72,266.92,266.8,266.56,266.76,267.3,267.74
9,265.84,266.48,266.0,265.26,266.38,266.34,266.28,266.28,266.9,267.4
10,265.34,266.14,265.72,264.9,265.84,265.86,265.8,265.84,266.34,266.94
11,265.08,265.72,265.24,264.58,265.24,265.48,265.22,265.42,265.98,266.62
12,264.92,265.44,264.78,264.22,264.86,265.0,264.7,265.14,265.58,266.32
13,264.7,265.14,264.44,263.82,264.52,264.42,264.54,264.76,265.24,265.78
14,264.4,264.84,264.14,263.36,264.34,264.1,264.18,264.4,264.82,265.24
15,264.16,264.5,263.8,263.08,264.08,263.56,263.84,264.08,264.66,264.8
16,264.02,264.28,263.46,262.92,263.7,263.28,263.32,263.7,264.16,264.48
17,263.76,264.06,263.14,262.4,263.52,262.98,263.06,263.54,263.74,264.06
18,263.56,264.0,262.82,262.12,263.3,262.76,262.78,263.22,263.5,263.7
19,263.48,263.78,262.3,261.82,262.94,262.56,262.6,262.84,263.24,263.26
20,263.32,263.48,262.08,261.32,262.56,262.26,262.42,262.7,262.96,262.84
21,263.18,263.28,261.9,261.18,262.3,262.1,262.14,262.46,262.68,262.4
22,263.02,263.04,261.62,261.02,262.04,261.74,261.84,262.16,262.24,262.08
23,262.84,262.5,261.36,260.86,261.76,261.28,261.64,261.9,261.98,261.92
24,262.66,262.36,261.14,260.62,261.48,261.04,261.4,261.64,261.6,261.68
25,262.44,262.2,260.94,260.44,261.26,260.78,261.26,261.24,261.26,261.48
26,262.38,261.96,260.78,260.28,260.96,260.6,261.12,261.0,261.12,261.26
