# started 2026-08-31 23:40:28
23:41:08 | limit=  5 | trial  17 | gates= 250 |   39.2s | overall 1/1000
23:41:09 | limit=  5 | trial  18 | gates= 252 |   39.6s | overall 2/1000
23:41:09 | limit=  5 | trial   1 | gates= 250 |   39.9s | overall 3/1000
23:41:09 | limit=  5 | trial   4 | gates= 250 |   39.9s | overall 4/1000
23:41:09 | limit=  5 | trial   8 | gates= 248 |   40.3s | overall 5/1000
23:41:10 | limit=  5 | trial  24 | gates= 250 |   40.4s | overall 6/1000
23:41:10 | limit=  5 | trial  22 | gates= 248 |   40.7s | overall 7/1000
23:41:10 | limit=  5 | trial  21 | gates= 250 |   41.0s | overall 8/1000
23:41:10 | limit=  5 | trial  27 | gates= 252 |   41.0s | overall 9/1000
23:41:11 | limit=  5 | trial   9 | gates= 250 |   41.6s | overall 10/1000
23:41:11 | limit=  5 | trial  12 | gates= 246 |   41.8s | overall 11/1000
23:41:11 | limit=  5 | trial  20 | gates= 246 |   41.8s | overall 12/1000
23:41:11 | limit=  5 | trial  26 | gates= 250 |   42.0s | overall 13/1000
23:41:12 | limit=  5 | trial   5 | gates= 250 |   43.0s | overall 14/1000
23:41:12 | limit=  5 | trial   3 | gates= 248 |   43.0s | overall 15/1000
23:41:13 | limit=  5 | trial   7 | gates= 250 |   44.0s | overall 16/1000
23:41:13 | limit=  5 | trial   6 | gates= 248 |   44.3s | overall 17/1000
23:41:13 | limit=  5 | trial  28 | gates= 248 |   44.2s | overall 18/1000
23:41:13 | limit=  5 | trial  14 | gates= 246 |   44.4s | overall 19/1000
23:41:14 | limit=  5 | trial  10 | gates= 252 |   44.7s | overall 20/1000
23:41:15 | limit=  5 | trial  19 | gates= 248 |   45.5s | overall 21/1000
23:41:15 | limit=  5 | trial  16 | gates= 250 |   45.8s | overall 22/1000
23:41:15 | limit=  5 | trial  11 | gates= 248 |   46.4s | overall 23/1000
23:41:15 | limit=  5 | trial  25 | gates= 252 |   46.3s | overall 24/1000
23:41:16 | limit=  5 | trial  23 | gates= 248 |   46.4s | overall 25/1000
23:41:16 | limit=  5 | trial  13 | gates= 240 |   46.5s | overall 26/1000
23:41:16 | limit=  5 | trial  15 | gates= 248 |   46.6s | overall 27/1000
23:41:16 | limit=  5 | trial   2 | gates= 250 |   46.8s | overall 28/1000
