config,limit,num_neighbors,final_avg_gates,final_std,best_gates,worst_gates,median_gates,avg_time_s
C07_lim040_N10,40,10,232.18,2.941,226,240,232.0,43.53
C08_lim055_N10,55,10,232.3,3.217,224,238,232.0,43.71
C09_lim080_N10,80,10,233.12,3.302,226,240,234.0,43.5
C06_lim030_N10,30,10,233.46,2.896,228,240,234.0,43.74
C10_lim120_N10,120,10,234.86,3.102,228,242,234.0,42.29
C05_lim025_N10,25,10,235.28,2.569,230,240,236.0,43.69
C04_lim020_N10,20,10,236.66,2.593,228,242,236.0,43.69
C03_lim015_N10,15,10,239.8,2.03,234,244,240.0,44.0
C02_lim010_N10,10,10,244.52,2.032,238,248,244.0,44.0
C01_lim005_N10,5,10,249.46,2.398,240,254,250.0,43.6
