Generation,0.50_N10,0.80_N10,1.00_N10,1.20_N10,1.50_N10,1.80_N10,2.00_N10,2.50_N10,3.00_N10,4.00_N10
1,268.3,267.32,268.06,268.06,267.36,267.08,267.68,267.32,268.1,268.58
2,266.22,265.14,265.36,266.06,264.98,265.38,265.42,265.68,266.22,266.7
3,264.28,263.38,263.18,264.52,263.52,263.8,263.3,263.86,264.52,265.5
4,262.98,261.88,261.66,263.14,262.18,262.7,262.2,262.82,263.14,264.58
5,261.9,260.64,260.34,261.74,260.98,261.64,261.18,261.9,261.98,263.82
6,260.78,259.86,259.32,260.5,259.84,260.7,260.5,261.36,260.86,262.84
7,259.44,259.12,258.16,259.56,258.9,259.84,259.64,260.48,260.14,262.08
8,258.6,258.26,257.46,259.06,258.14,259.14,258.98,259.74,259.42,261.22
9,257.76,257.56,256.64,258.2,257.52,258.34,258.4,259.1,258.8,260.72
10,257.0,256.8,256.0,257.46,257.08,257.74,257.82,258.6,258.3,260.16
11,256.36,256.12,255.6,256.92,256.28,257.3,257.18,258.06,257.5,259.62
12,255.76,255.68,255.16,256.2,255.66,256.84,256.74,257.42,257.12,259.2
13,255.18,254.96,254.76,255.66,255.24,256.5,256.0,257.02,256.76,258.62
14,254.72,254.44,254.26,255.0,254.7,256.14,255.58,256.66,256.52,258.04
15,253.88,253.74,253.84,254.28,254.24,255.58,255.2,256.16,255.92,257.5
16,253.5,253.36,253.3,253.72,253.76,255.02,254.72,255.6,255.42,257.1
17,253.24,253.02,252.8,253.26,253.3,254.68,254.26,255.14,254.94,256.78
18,252.86,252.7,252.56,252.88,252.96,254.26,253.8,254.76,254.54,256.46
19,252.26,252.14,252.16,252.48,252.62,254.08,253.42,254.42,254.24,256.02
20,251.86,251.66,251.96,251.98,252.3,253.78,253.16,254.0,253.92,255.66
21,251.44,251.3,251.58,251.72,252.14,253.34,253.0,253.66,253.5,255.4
22,250.78,250.96,251.26,251.46,251.7,253.16,252.7,253.48,253.12,255.08
23,250.46,250.64,250.96,251.06,251.44,252.84,252.42,253.34,252.92,254.74
24,250.06,250.44,250.7,250.7,251.1,252.72,252.12,252.92,252.74,254.64
25,249.66,249.98,250.38,250.4,250.8,252.46,251.64,252.66,252.52,254.42
26,249.3,249.72,249.94,250.14,250.46,252.22,251.34,252.28,252.22,254.04
27,249.0,249.58,249.72,249.88,250.12,251.98,251.1,252.02,251.86,253.84
28,248.82,249.34,249.34,249.54,249.8,251.66,250.92,251.86,251.66,253.46
29,248.5,248.96,249.02,249.22,249.72,251.36,250.76,251.56,251.44,253.18
30,248.14,248.7,248.78,248.94,249.5,251.06,250.5,251.34,251.28,253.0
31,247.8,248.58,248.5,248.68,249.3,250.64,250.22,251.1,251.1,252.88
32,247.68,248.42,248.2,248.42,249.08,250.46,249.88,250.98,250.94,252.64
33,247.46,248.1,247.94,248.26,248.88,250.3,249.66,250.78,250.74,252.52
34,247.2,247.74,247.52,248.02,248.56,250.06,249.32,250.62,250.6,252.34
35,247.04,247.6,247.22,247.72,248.44,249.86,249.08,250.52,250.42,252.14
36,246.94,247.3,247.1,247.42,248.24,249.7,248.94,250.4,250.1,251.88
37,246.72,247.04,246.9,247.16,248.22,249.62,248.8,250.16,249.9,251.72
38,246.4,246.86,246.86,247.08,248.2,249.42,248.7,250.1,249.84,251.52
39,246.2,246.66,246.62,246.86,248.0,249.1,248.46,249.86,249.66,251.34
40,245.98,246.44,246.44,246.7,247.76,248.94,248.32,249.8,249.38,251.14
41,245.82,246.2,246.18,246.52,247.66,248.86,248.2,249.66,249.24,251.02
42,245.68,245.86,246.04,246.3,247.52,248.64,248.0,249.5,249.04,250.98
43,245.42,245.82,245.92,246.16,247.3,248.54,247.82,249.34,248.96,250.84
44,245.32,245.58,245.72,246.08,247.02,248.38,247.74,249.16,248.86,250.7
45,245.22,245.32,245.48,245.92,246.84,248.22,247.6,249.02,248.72,250.6
46,245.0,245.08,245.36,245.7,246.68,248.02,247.52,248.94,248.68,250.56
47,244.8,244.88,245.22,245.42,246.54,247.86,247.32,248.82,248.46,250.48
48,244.66,244.72,245.12,245.36,246.28,247.74,247.22,248.68,248.28,250.4
49,244.52,244.56,245.06,245.18,246.06,247.64,247.1,248.56,248.2,250.3
50,244.32,244.44,244.94,245.04,245.94,247.46,246.96,248.38,248.04,250.24
51,244.2,244.26,244.72,244.76,245.86,247.32,246.8,248.08,247.9,250.0
52,244.14,244.12,244.62,244.56,245.84,247.12,246.62,247.82,247.76,249.9
53,244.0,244.0,244.42,244.38,245.78,246.96,246.4,247.64,247.64,249.84
54,243.88,243.84,244.34,244.28,245.64,246.82,246.3,247.5,247.54,249.68
55,243.7,243.64,244.12,244.04,245.42,246.68,246.22,247.26,247.38,249.58
56,243.48,243.48,243.94,243.98,245.28,246.52,246.02,247.14,247.36,249.52
57,243.44,243.34,243.82,243.82,245.12,246.4,245.8,247.12,247.18,249.38
58,243.28,243.2,243.7,243.66,244.96,246.12,245.74,247.0,247.14,249.3
59,243.1,243.1,243.58,243.56,244.88,246.0,245.6,246.86,246.94,249.12
60,242.94,243.04,243.46,243.42,244.82,245.86,245.4,246.72,246.82,248.94
61,242.86,242.78,243.34,243.24,244.62,245.68,245.28,246.6,246.62,248.74
62,242.72,242.76,243.24,243.1,244.36,245.52,245.14,246.5,246.54,248.64
63,242.6,242.64,243.08,242.98,244.26,245.42,245.0,246.4,246.46,248.54
64,242.46,242.56,243.0,242.88,244.16,245.16,244.98,246.3,246.26,248.44
65,242.36,242.52,242.88,242.72,244.06,245.06,244.9,246.2,246.12,248.28
66,242.18,242.48,242.72,242.68,243.98,245.0,244.9,245.88,246.1,248.24
67,242.0,242.32,242.64,242.56,243.96,244.92,244.74,245.78,246.04,248.18
68,241.9,242.22,242.48,242.48,243.88,244.88,244.64,245.66,246.0,248.12
69,241.82,242.04,242.44,242.38,243.78,244.78,244.58,245.64,245.96,248.02
70,241.7,241.92,242.32,242.28,243.64,244.62,244.54,245.6,245.84,247.98
71,241.48,241.78,242.2,242.22,243.46,244.52,244.42,245.52,245.72,247.96
72,241.44,241.76,242.08,242.16,243.34,244.42,244.3,245.5,245.62,247.88
73,241.4,241.6,241.94,241.96,243.26,244.38,244.24,245.46,245.48,247.82
74,241.24,241.54,241.82,241.92,243.18,244.26,244.18,245.42,245.34,247.7
75,241.12,241.52,241.82,241.78,243.1,244.2,244.08,245.38,245.3,247.54
76,241.0,241.36,241.8,241.74,243.04,244.16,244.04,245.3,245.1,247.44
77,240.88,241.3,241.7,241.62,243.0,244.0,243.92,245.3,245.02,247.36
78,240.76,241.26,241.6,241.54,242.84,243.9,243.86,245.22,244.92,247.26
79,240.66,241.14,241.54,241.48,242.72,243.78,243.84,245.14,244.92,247.14
80,240.54,241.02,241.46,241.42,242.62,243.72,243.74,245.08,244.92,247.08
81,240.48,240.9,241.28,241.38,242.56,243.66,243.64,245.04,244.82,247.06
82,240.38,240.76,241.22,241.38,242.44,243.58,243.64,244.98,244.78,247.04
83,240.36,240.64,241.08,241.3,242.36,243.48,243.56,244.9,244.72,246.98
84,240.24,240.56,241.08,241.26,242.26,243.46,243.56,244.84,244.66,246.94
85,240.18,240.42,241.0,241.26,242.2,243.4,243.42,244.74,244.6,246.86
86,240.1,240.34,240.86,241.1,242.12,243.38,243.36,244.68,244.56,246.86
87,240.08,240.28,240.74,241.04,242.08,243.3,243.24,244.66,244.54,246.82
88,239.92,240.26,240.68,240.94,242.04,243.3,243.2,244.64,244.42,246.78
89,239.82,240.14,240.56,240.94,241.96,243.26,243.12,244.5,244.32,246.76
90,239.68,240.1,240.52,240.86,241.96,243.18,243.1,244.46,244.22,246.7
91,239.6,240.06,240.42,240.78,241.94,243.1,243.04,244.42,244.22,246.62
92,239.52,239.98,240.4,240.62,241.86,243.0,243.04,244.36,244.16,246.58
93,239.44,239.92,240.28,240.6,241.86,242.92,242.98,244.36,244.16,246.56
94,239.42,239.84,240.2,240.48,241.76,242.88,242.94,244.32,244.14,246.54
95,239.38,239.76,240.18,240.46,241.7,242.88,242.92,244.18,244.1,246.52
96,239.28,239.7,240.12,240.36,241.66,242.88,242.82,244.06,244.08,246.44
97,239.26,239.62,240.08,240.28,241.66,242.78,242.76,243.98,244.02,246.38
98,239.16,239.54,239.98,240.22,241.58,242.74,242.7,243.88,243.96,246.36
99,239.12,239.44,239.92,240.22,241.56,242.66,242.64,243.84,243.94,246.3
100,239.02,239.34,239.78,240.16,241.56,242.62,242.58,243.8,243.92,246.3
101,238.82,239.26,239.72,240.1,241.52,242.58,242.54,243.72,243.86,246.28
102,238.66,239.16,239.6,240.02,241.52,242.5,242.52,243.66,243.8,246.24
103,238.54,239.14,239.56,239.84,241.52,242.48,242.46,243.64,243.74,246.22
104,238.46,239.1,239.54,239.82,241.42,242.38,242.36,243.6,243.68,246.18
105,238.34,239.02,239.44,239.74,241.34,242.34,242.28,243.54,243.64,246.14
106,238.32,238.96,239.4,239.7,241.24,242.3,242.28,243.52,243.64,246.1
107,238.18,238.84,239.4,239.7,241.14,242.28,242.24,243.48,243.58,246.08
108,238.06,238.82,239.38,239.62,241.1,242.24,242.18,243.4,243.58,246.06
109,238.0,238.7,239.38,239.58,241.08,242.2,242.18,243.34,243.56,246.0
110,237.9,238.68,239.3,239.56,241.04,242.16,242.1,243.32,243.46,246.0
111,237.88,238.6,239.22,239.54,241.0,242.1,242.08,243.24,243.44,245.96
112,237.7,238.56,239.14,239.46,240.94,242.02,242.08,243.22,243.44,245.92
113,237.62,238.5,239.06,239.42,240.88,241.96,242.0,243.22,243.44,245.92
114,237.6,238.48,239.06,239.42,240.78,241.9,241.96,243.18,243.42,245.9
115,237.56,238.48,239.02,239.4,240.74,241.86,241.96,243.18,243.38,245.9
116,237.44,238.46,239.0,239.32,240.74,241.84,241.84,243.16,243.3,245.88
117,237.34,238.42,238.96,239.24,240.62,241.76,241.84,243.14,243.26,245.84
118,237.2,238.26,238.96,239.2,240.58,241.72,241.84,243.1,243.26,245.82
119,237.12,238.26,238.94,239.14,240.56,241.66,241.8,243.08,243.18,245.72
120,237.04,238.18,238.86,239.14,240.52,241.62,241.78,243.02,243.12,245.7
121,237.02,238.12,238.82,239.1,240.5,241.58,241.74,242.94,243.12,245.68
122,236.96,238.1,238.74,239.0,240.5,241.54,241.64,242.94,243.1,245.68
123,236.92,238.08,238.68,238.88,240.48,241.54,241.58,242.9,243.08,245.68
124,236.88,238.04,238.66,238.78,240.46,241.48,241.56,242.86,243.06,245.68
125,236.78,237.94,238.6,238.78,240.42,241.44,241.56,242.84,242.98,245.66
126,236.72,237.92,238.56,238.66,240.36,241.38,241.54,242.72,242.94,245.64
127,236.68,237.88,238.56,238.62,240.32,241.36,241.52,242.68,242.92,245.62
128,236.68,237.84,238.52,238.6,240.26,241.36,241.5,242.66,242.88,245.62
129,236.66,237.7,238.4,238.56,240.22,241.36,241.5,242.64,242.84,245.6
130,236.6,237.66,238.34,238.54,240.2,241.34,241.38,242.6,242.82,245.6
131,236.54,237.6,238.28,238.48,240.16,241.32,241.34,242.58,242.82,245.58
132,236.52,237.52,238.24,238.48,240.1,241.28,241.34,242.56,242.82,245.54
133,236.46,237.46,238.2,238.46,240.04,241.24,241.3,242.54,242.76,245.52
134,236.34,237.34,238.18,238.44,240.02,241.22,241.3,242.52,242.72,245.52
135,236.28,237.32,238.1,238.4,240.0,241.2,241.28,242.4,242.72,245.52
136,236.2,237.3,238.1,238.4,239.92,241.2,241.24,242.38,242.7,245.46
137,236.08,237.24,238.08,238.4,239.92,241.2,241.2,242.38,242.7,245.46
138,236.0,237.1,238.06,238.36,239.9,241.18,241.2,242.36,242.68,245.44
139,235.94,237.04,238.02,238.36,239.88,241.18,241.18,242.34,242.6,245.44
140,235.88,237.04,237.94,238.32,239.8,241.18,241.18,242.32,242.58,245.44
141,235.84,236.98,237.92,238.28,239.8,241.18,241.16,242.28,242.56,245.38
142,235.82,236.96,237.84,238.26,239.76,241.12,241.12,242.28,242.54,245.36
143,235.7,236.94,237.76,238.26,239.72,241.08,241.12,242.2,242.48,245.36
144,235.7,236.92,237.72,238.18,239.72,241.08,241.1,242.2,242.42,245.34
145,235.64,236.82,237.7,238.14,239.7,241.06,241.08,242.18,242.36,245.3
146,235.62,236.76,237.68,238.1,239.68,241.06,241.08,242.18,242.34,245.3
147,235.6,236.68,237.64,238.06,239.64,241.04,241.08,242.18,242.32,245.3
148,235.6,236.6,237.62,238.02,239.64,241.02,241.06,242.12,242.28,245.3
