# started 2026-08-31 23:13:19
23:14:01 | b=0.50 | trial   6 | gates= 224 |   40.8s | overall 1/1000
23:14:02 | b=0.50 | trial   4 | gates= 218 |   41.8s | overall 2/1000
23:14:02 | b=0.50 | trial  13 | gates= 218 |   41.8s | overall 3/1000
23:14:02 | b=0.50 | trial   8 | gates= 212 |   41.9s | overall 4/1000
23:14:02 | b=0.50 | trial  25 | gates= 228 |   41.8s | overall 5/1000
23:14:02 | b=0.50 | trial   9 | gates= 224 |   42.0s | overall 6/1000
23:14:02 | b=0.50 | trial  10 | gates= 220 |   42.4s | overall 7/1000
23:14:02 | b=0.50 | trial   5 | gates= 220 |   42.5s | overall 8/1000
23:14:03 | b=0.50 | trial  15 | gates= 222 |   42.9s | overall 9/1000
23:14:03 | b=0.50 | trial  28 | gates= 212 |   43.1s | overall 10/1000
23:14:03 | b=0.50 | trial   3 | gates= 224 |   43.4s | overall 11/1000
23:14:03 | b=0.50 | trial  19 | gates= 220 |   43.3s | overall 12/1000
23:14:04 | b=0.50 | trial  24 | gates= 220 |   43.5s | overall 13/1000
23:14:04 | b=0.50 | trial  26 | gates= 226 |   43.8s | overall 14/1000
23:14:04 | b=0.50 | trial  11 | gates= 220 |   44.0s | overall 15/1000
23:14:04 | b=0.50 | trial   2 | gates= 224 |   44.1s | overall 16/1000
23:14:04 | b=0.50 | trial   7 | gates= 214 |   44.1s | overall 17/1000
23:14:05 | b=0.50 | trial  27 | gates= 214 |   44.4s | overall 18/1000
23:14:05 | b=0.50 | trial  22 | gates= 220 |   44.8s | overall 19/1000
23:14:05 | b=0.50 | trial  14 | gates= 226 |   45.1s | overall 20/1000
23:14:05 | b=0.50 | trial  18 | gates= 214 |   45.2s | overall 21/1000
23:14:06 | b=0.50 | trial  17 | gates= 212 |   46.1s | overall 22/1000
23:14:06 | b=0.50 | trial  12 | gates= 212 |   46.1s | overall 23/1000
23:14:06 | b=0.50 | trial  23 | gates= 222 |   46.2s | overall 24/1000
23:14:07 | b=0.50 | trial  16 | gates= 222 |   46.6s | overall 25/1000
23:14:07 | b=0.50 | trial   1 | gates= 222 |   46.8s | overall 26/1000
23:14:07 | b=0.50 | trial  21 | gates= 210 |   47.2s | overall 27/1000
23:14:07 | b=0.50 | trial  20 | gates= 210 |   47.3s | overall 28/1000
23:14:43 | b=0.50 | trial  34 | gates= 216 |   40.9s | overall 29/1000
23:14:44 | b=0.50 | trial  45 | gates= 224 |   39.9s | overall 30/1000
23:14:45 | b=0.50 | trial  36 | gates= 216 |   42.1s | overall 31/1000
23:14:45 | b=0.50 | trial  31 | gates= 220 |   42.7s | overall 32/1000
23:14:45 | b=0.50 | trial  33 | gates= 214 |   42.7s | overall 33/1000
23:14:45 | b=0.50 | trial  35 | gates= 220 |   42.6s | overall 34/1000
23:14:46 | b=0.50 | trial  38 | gates= 220 |   42.5s | overall 35/1000
23:14:46 | b=0.50 | trial  44 | gates= 214 |   41.9s | overall 36/1000
23:14:46 | b=0.50 | trial  41 | gates= 234 |   42.4s | overall 37/1000
23:14:46 | b=0.50 | trial  49 | gates= 206 |   41.0s | overall 38/1000
23:14:47 | b=0.50 | trial  32 | gates= 210 |   44.6s | overall 39/1000
23:14:47 | b=0.50 | trial  39 | gates= 220 |   43.3s | overall 40/1000
23:14:47 | b=0.50 | trial  29 | gates= 214 |   46.0s | overall 41/1000
23:14:47 | b=0.50 | trial  37 | gates= 216 |   44.1s | overall 42/1000
23:14:48 | b=0.50 | trial  43 | gates= 222 |   43.7s | overall 43/1000
23:14:48 | b=0.50 | trial  46 | gates= 218 |   43.3s | overall 44/1000
23:14:48 | b=0.50 | trial  30 | gates= 206 |   46.7s | overall 45/1000
23:14:49 | b=0.50 | trial  48 | gates= 218 |   43.4s | overall 46/1000
23:14:49 | b=0.50 | trial  42 | gates= 222 |   45.2s | overall 47/1000
23:14:49 | b=0.50 | trial  40 | gates= 222 |   45.9s | overall 48/1000
23:14:49 | b=0.50 | trial  47 | gates= 210 |   44.4s | overall 49/1000
23:14:50 | b=0.50 | trial  51 | gates= 218 |   44.1s | overall 50/1000
23:14:51 | b=0.50 | trial  54 | gates= 212 |   43.9s | overall 51/1000
23:14:51 | b=0.50 | trial  56 | gates= 222 |   43.5s | overall 52/1000
23:14:52 | b=0.50 | trial  50 | gates= 216 |   45.8s | overall 53/1000
23:14:54 | b=0.50 | trial  52 | gates= 220 |   47.3s | overall 54/1000
23:14:54 | b=0.50 | trial  53 | gates= 204 |   47.4s | overall 55/1000
23:14:55 | b=0.50 | trial  55 | gates= 216 |   47.5s | overall 56/1000
23:15:26 | b=0.50 | trial  63 | gates= 214 |   40.4s | overall 57/1000
