WOA parameter sweep #3 (a x b cross-test, N=10 fixed) | 6-bit problem #1
100 trials x 3000 iterations per config
2 of 10 configs reused from earlier archives
Total wall time: 21.6 min

                   config    b  a_start  a_end  a_decay_power  final_avg_gates  final_std  gen1000_avg_gates  best_gates  worst_gates  median_gates  avg_time_s
C10_b0.30_as2.0_ap0.5_N10 0.30      2.0    0.0            0.5           216.48      6.969             223.14         200          236         216.0       43.70
C01_b0.45_as2.0_ap1.0_N10 0.45      2.0    0.0            1.0           217.56      5.348             222.82         206          232         218.0       43.30
C05_b0.45_as2.0_ap0.5_N10 0.45      2.0    0.0            0.5           217.78      5.663             224.16         202          232         218.0       45.28
C02_b0.45_as3.0_ap1.0_N10 0.45      3.0    0.0            1.0           218.08      5.351             223.74         206          228         218.0       43.98
C07_b0.30_as3.0_ap1.0_N10 0.30      3.0    0.0            1.0           218.30      5.868             225.04         206          232         218.0       45.10
C03_b0.45_as1.0_ap1.0_N10 0.45      1.0    0.0            1.0           218.40      6.609             224.52         198          234         218.0       44.97
C06_b0.30_as2.0_ap1.0_N10 0.30      2.0    0.0            1.0           219.02      6.010             225.54         202          236         220.0       44.41
C08_b0.30_as1.0_ap1.0_N10 0.30      1.0    0.0            1.0           219.18      5.954             226.88         198          232         220.0       45.10
C04_b0.45_as2.0_ap2.0_N10 0.45      2.0    0.0            2.0           219.36      5.628             225.10         206          234         220.0       45.09
C09_b0.30_as2.0_ap2.0_N10 0.30      2.0    0.0            2.0           219.36      5.684             225.20         206          234         219.0       45.17

Ranked by mean gate count at the final generation (lower is better).
