Generation,b0.30_baseline,b0.30_fast,b0.30_narrow,b0.30_slow,b0.30_wide,b0.45_baseline,b0.45_fast,b0.45_narrow,b0.45_slow,b0.45_wide
1,268.9,268.72,269.06,267.98,268.78,268.4,268.06,267.6,267.34,268.04
2,266.84,266.7,267.26,265.14,266.88,266.16,266.06,265.08,265.34,266.16
3,265.12,265.14,265.52,263.26,265.36,264.62,264.3,263.48,263.74,264.22
4,264.02,264.2,264.32,262.14,264.22,263.08,263.32,262.12,262.46,262.84
5,262.96,263.0,263.26,260.82,262.62,261.58,261.66,261.08,261.2,261.74
6,261.98,262.02,262.1,259.72,261.94,260.56,260.66,260.3,260.52,260.76
7,260.92,261.04,261.34,259.02,261.16,259.54,260.0,259.32,259.7,259.9
8,260.18,260.04,260.5,258.22,259.92,258.62,258.98,258.52,258.76,258.88
9,259.34,259.12,259.76,257.5,259.38,257.72,258.16,257.6,258.1,258.14
10,258.46,258.36,258.98,256.74,258.5,256.66,257.4,256.72,257.24,257.5
11,257.7,257.46,258.4,256.1,257.76,256.1,256.88,256.12,256.58,256.68
12,257.02,256.74,257.6,255.54,257.16,255.36,256.06,255.44,255.96,255.7
13,256.42,256.1,256.98,255.16,256.42,254.88,255.28,255.04,255.36,255.08
14,255.88,255.54,256.34,254.54,255.72,254.38,254.78,254.46,255.06,254.48
15,255.36,255.0,255.92,254.02,255.18,253.66,254.16,253.96,254.54,253.66
16,254.68,254.58,255.28,253.42,254.66,252.98,253.82,253.46,253.96,253.16
17,254.26,254.04,254.46,252.96,254.12,252.56,253.2,253.1,253.46,252.74
18,253.86,253.7,254.06,252.66,253.58,252.22,252.86,252.62,253.02,252.26
19,253.4,253.18,253.74,252.28,252.98,251.58,252.4,252.06,252.74,251.82
20,253.08,252.84,253.2,251.86,252.46,251.26,252.0,251.4,252.34,251.52
21,252.8,252.34,252.9,251.46,252.12,250.8,251.54,251.02,251.92,251.22
22,252.4,251.82,252.4,251.1,251.58,250.4,251.18,250.6,251.62,250.76
23,252.22,251.48,251.86,250.66,251.28,249.98,250.84,250.34,251.24,250.34
24,251.94,251.06,251.48,250.26,250.9,249.64,250.42,250.06,250.9,250.02
25,251.58,250.58,251.22,249.7,250.44,249.08,250.16,249.6,250.34,249.72
26,251.14,250.12,251.04,249.52,250.1,248.72,249.72,249.2,249.96,249.32
27,250.84,249.66,250.76,249.2,249.88,248.34,249.46,248.94,249.68,249.0
28,250.52,249.36,250.42,248.74,249.66,247.96,249.24,248.74,249.4,248.82
29,250.26,249.12,250.06,248.54,249.5,247.54,248.84,248.46,248.96,248.42
30,250.04,248.88,249.84,248.32,249.24,247.28,248.68,248.26,248.72,248.1
31,249.82,248.68,249.46,247.9,248.98,247.0,248.42,248.1,248.46,247.66
32,249.56,248.32,249.08,247.6,248.7,246.68,248.08,247.9,248.26,247.4
33,249.3,248.1,248.86,247.38,248.34,246.4,247.88,247.56,248.04,247.06
34,249.12,247.78,248.72,247.06,248.06,246.16,247.74,247.26,247.76,246.8
35,248.94,247.62,248.5,246.84,247.8,245.86,247.44,247.02,247.58,246.54
36,248.76,247.44,248.16,246.72,247.36,245.76,247.28,246.84,247.34,246.24
37,248.62,247.22,247.98,246.46,247.24,245.52,247.06,246.68,247.06,246.02
38,248.2,247.1,247.84,246.3,247.08,245.28,246.92,246.52,246.72,245.64
39,247.82,246.82,247.58,246.08,246.9,245.06,246.66,246.28,246.56,245.38
40,247.6,246.54,247.36,245.94,246.62,244.9,246.32,246.04,246.46,245.3
41,247.42,246.28,247.18,245.72,246.28,244.68,246.22,245.82,246.2,245.12
42,247.24,246.04,247.02,245.56,246.14,244.58,245.98,245.76,246.02,244.96
43,247.08,245.82,246.82,245.4,245.98,244.34,245.78,245.56,245.78,244.78
44,246.88,245.56,246.66,245.28,245.8,244.24,245.68,245.3,245.6,244.58
45,246.6,245.46,246.38,245.18,245.6,244.0,245.38,245.1,245.4,244.36
46,246.3,245.38,246.24,245.04,245.32,243.84,245.2,244.92,245.2,244.16
47,246.26,245.18,246.14,244.86,245.1,243.7,244.96,244.76,244.96,244.06
48,246.12,245.06,245.9,244.66,244.92,243.48,244.78,244.62,244.84,243.94
49,246.0,244.86,245.64,244.56,244.78,243.3,244.62,244.48,244.5,243.78
50,245.86,244.62,245.38,244.42,244.68,243.18,244.36,244.32,244.3,243.66
51,245.66,244.34,245.2,244.22,244.46,243.04,244.26,244.26,244.22,243.46
52,245.54,244.08,245.08,244.12,244.38,242.76,244.16,244.18,244.06,243.32
53,245.44,243.94,244.88,243.88,244.24,242.58,244.06,244.04,243.88,243.08
54,245.3,243.86,244.82,243.7,244.02,242.34,244.0,244.0,243.74,242.98
55,245.12,243.7,244.66,243.64,243.84,242.22,243.88,243.96,243.46,242.86
56,245.04,243.56,244.6,243.54,243.78,242.14,243.6,243.9,243.32,242.74
57,244.84,243.38,244.48,243.4,243.64,242.1,243.5,243.78,243.2,242.7
58,244.7,243.26,244.32,243.3,243.52,242.0,243.4,243.52,243.06,242.64
59,244.56,243.16,244.24,243.18,243.52,241.94,243.32,243.24,243.02,242.36
60,244.38,243.08,244.06,243.06,243.42,241.82,243.2,243.12,242.84,242.26
61,244.28,242.86,244.0,242.86,243.34,241.7,243.16,243.06,242.7,242.18
62,244.08,242.72,243.92,242.8,243.24,241.58,242.98,242.94,242.58,242.06
63,243.88,242.62,243.66,242.72,243.06,241.44,242.92,242.88,242.5,241.82
64,243.76,242.4,243.6,242.58,242.92,241.24,242.78,242.74,242.42,241.7
65,243.68,242.2,243.48,242.48,242.88,241.14,242.74,242.68,242.26,241.56
66,243.52,242.06,243.36,242.4,242.78,241.02,242.68,242.54,242.12,241.36
67,243.22,241.94,243.3,242.16,242.66,240.84,242.56,242.4,242.06,241.2
68,242.98,241.82,243.1,242.08,242.52,240.68,242.42,242.26,241.86,241.02
69,242.86,241.7,242.98,241.94,242.42,240.56,242.4,242.16,241.74,240.88
70,242.78,241.54,242.88,241.84,242.3,240.48,242.1,242.06,241.52,240.68
71,242.72,241.44,242.8,241.74,242.22,240.4,241.94,242.0,241.38,240.6
72,242.66,241.32,242.72,241.66,242.12,240.12,241.84,241.88,241.28,240.52
73,242.48,241.2,242.62,241.62,242.06,239.94,241.64,241.74,241.14,240.44
74,242.44,241.1,242.58,241.42,241.88,239.8,241.52,241.7,241.06,240.4
75,242.34,241.08,242.5,241.32,241.8,239.76,241.42,241.54,241.04,240.36
76,242.18,241.06,242.44,241.2,241.68,239.6,241.32,241.42,240.9,240.22
77,242.06,240.98,242.42,240.98,241.6,239.5,241.18,241.36,240.78,240.04
78,242.0,240.92,242.34,240.82,241.52,239.34,241.04,241.24,240.72,239.74
79,241.94,240.78,242.26,240.66,241.46,239.2,240.94,241.16,240.66,239.66
80,241.82,240.68,242.12,240.54,241.36,239.1,240.84,241.06,240.48,239.54
81,241.78,240.6,242.08,240.54,241.26,239.02,240.66,241.0,240.44,239.36
82,241.7,240.46,241.96,240.52,241.06,238.88,240.62,240.82,240.28,239.28
83,241.68,240.38,241.86,240.36,240.92,238.78,240.56,240.76,240.2,239.22
84,241.62,240.26,241.76,240.2,240.78,238.66,240.48,240.62,240.14,239.14
85,241.5,240.12,241.56,240.14,240.76,238.56,240.46,240.56,240.08,239.04
86,241.38,240.0,241.52,240.1,240.7,238.46,240.34,240.52,240.0,239.02
87,241.24,239.94,241.46,240.0,240.6,238.4,240.26,240.46,239.88,238.86
88,241.18,239.88,241.32,239.88,240.54,238.28,240.18,240.34,239.84,238.76
89,241.08,239.78,241.26,239.8,240.44,238.2,240.16,240.3,239.74,238.74
90,240.98,239.72,241.22,239.78,240.36,238.1,240.12,240.22,239.68,238.6
91,240.94,239.68,241.04,239.6,240.26,238.0,240.06,240.2,239.66,238.44
92,240.74,239.62,240.94,239.5,240.24,237.92,239.92,240.14,239.62,238.38
93,240.66,239.58,240.9,239.46,240.12,237.88,239.82,239.96,239.54,238.18
94,240.56,239.54,240.84,239.38,240.06,237.76,239.8,239.9,239.5,238.12
95,240.52,239.46,240.8,239.32,239.9,237.62,239.74,239.86,239.44,238.06
96,240.5,239.38,240.76,239.22,239.84,237.58,239.58,239.76,239.38,237.94
97,240.38,239.28,240.7,239.2,239.8,237.52,239.5,239.7,239.3,237.9
98,240.28,239.22,240.62,239.06,239.7,237.44,239.44,239.66,239.2,237.84
99,240.22,239.14,240.52,239.0,239.68,237.24,239.36,239.54,239.12,237.84
100,240.14,238.92,240.38,238.96,239.56,237.18,239.2,239.42,239.02,237.76
101,240.04,238.82,240.34,238.8,239.4,237.14,239.14,239.34,238.98,237.68
102,240.02,238.82,240.32,238.72,239.38,237.12,239.08,239.32,238.9,237.62
103,240.0,238.76,240.26,238.66,239.24,237.04,239.06,239.24,238.84,237.52
104,239.92,238.7,240.2,238.62,239.16,237.02,238.94,239.24,238.78,237.46
105,239.9,238.62,240.06,238.54,239.1,236.98,238.92,239.18,238.7,237.4
106,239.88,238.56,240.04,238.48,239.02,236.88,238.88,239.16,238.64,237.34
107,239.8,238.48,239.84,238.36,238.88,236.82,238.84,239.02,238.54,237.3
108,239.64,238.44,239.82,238.2,238.8,236.78,238.76,238.96,238.48,237.26
109,239.58,238.36,239.76,238.12,238.76,236.66,238.66,238.92,238.42,237.22
110,239.54,238.26,239.68,238.06,238.7,236.56,238.58,238.9,238.36,237.16
111,239.52,238.12,239.64,237.98,238.62,236.56,238.36,238.82,238.32,237.12
112,239.48,238.02,239.6,237.92,238.58,236.46,238.3,238.74,238.14,237.08
113,239.38,237.9,239.56,237.86,238.5,236.34,238.16,238.66,238.08,237.02
114,239.36,237.84,239.52,237.72,238.46,236.34,238.14,238.58,237.94,236.98
115,239.3,237.8,239.4,237.7,238.42,236.3,238.1,238.5,237.88,236.92
116,239.24,237.76,239.38,237.6,238.34,236.22,238.02,238.46,237.82,236.88
117,239.18,237.68,239.34,237.56,238.3,236.2,237.92,238.38,237.78,236.78
118,239.14,237.62,239.32,237.56,238.26,236.16,237.9,238.36,237.7,236.74
119,239.06,237.52,239.28,237.46,238.24,236.14,237.84,238.24,237.66,236.62
120,239.02,237.46,239.26,237.44,238.22,236.02,237.78,238.14,237.62,236.58
121,238.96,237.4,239.2,237.42,238.2,235.94,237.72,238.02,237.58,236.5
122,238.96,237.38,239.2,237.32,238.2,235.88,237.7,237.94,237.48,236.46
123,238.88,237.38,239.14,237.26,238.14,235.76,237.62,237.9,237.44,236.38
124,238.84,237.36,239.02,237.22,238.1,235.72,237.6,237.9,237.42,236.36
125,238.78,237.28,239.0,237.16,238.06,235.68,237.6,237.86,237.4,236.34
126,238.7,237.24,238.98,237.1,237.98,235.64,237.6,237.82,237.36,236.26
127,238.68,237.18,238.92,237.08,237.86,235.58,237.58,237.68,237.34,236.26
128,238.64,237.1,238.86,237.06,237.84,235.5,237.44,237.68,237.3,236.14
129,238.56,237.06,238.82,237.04,237.72,235.46,237.38,237.64,237.24,236.04
130,238.48,237.02,238.76,237.04,237.7,235.4,237.34,237.62,237.24,235.98
131,238.42,236.96,238.7,236.98,237.64,235.32,237.3,237.58,237.18,235.94
132,238.34,236.88,238.64,236.94,237.6,235.28,237.28,237.48,237.16,235.82
133,238.28,236.82,238.6,236.9,237.54,235.22,237.18,237.46,237.12,235.78
134,238.26,236.7,238.56,236.84,237.48,235.16,237.1,237.44,237.1,235.72
135,238.2,236.58,238.54,236.82,237.46,235.04,237.02,237.34,237.08,235.68
136,238.18,236.48,238.52,236.74,237.4,234.98,236.96,237.32,237.06,235.6
137,238.14,236.38,238.48,236.7,237.36,234.9,236.86,237.28,237.02,235.6
138,238.1,236.18,238.42,236.62,237.28,234.9,236.78,237.28,236.98,235.5
139,238.06,236.16,238.36,236.6,237.26,234.88,236.72,237.2,236.9,235.44
140,238.06,236.14,238.36,236.58,237.26,234.86,236.68,237.16,236.8,235.38
141,238.0,236.12,238.32,236.54,237.2,234.76,236.64,237.1,236.78,235.38
142,237.98,236.08,238.28,236.52,237.14,234.72,236.54,237.04,236.7,235.36
143,237.96,236.06,238.24,236.46,237.12,234.68,236.48,237.02,236.66,235.28
144,237.9,235.96,238.22,236.42,237.04,234.62,236.36,236.98,236.66,235.28
145,237.8,235.96,238.18,236.4,236.9,234.6,236.32,236.94,236.56,235.22
146,237.76,235.9,238.12,236.36,236.84,234.6,236.26,236.94,236.46,235.22
147,237.7,235.86,238.1,236.36,236.8,234.56,236.24,236.84,236.4,235.22
148,237.64,235.84,238.08,236.32,236.76,234.5,236.2,236.82,236.4,235.2
149,237.56,235.78,238.04,236.28,236.74,234.48,236.16,236.76,236.36,235.14
150,237.52,235.76,237.96,236.2,236.62,234.44,236.12,236.74,236.3,235.1
151,237.5,235.76,237.84,236.18,236.58,234.42,236.02,236.7,236.2,235.1
152,237.48,235.72,237.82,236.12,236.54,234.4,236.0,236.66,236.12,235.02
153,237.42,235.7,237.76,236.1,236.48,234.4,235.96,236.56,236.04,234.98
154,237.32,235.64,237.72,236.06,236.46,234.36,235.94,236.54,236.0,234.96
155,237.26,235.62,237.72,236.0,236.44,234.32,235.92,236.48,235.94,234.94
156,237.22,235.6,237.66,235.94,236.4,234.28,235.86,236.46,235.88,234.92
157,237.22,235.54,237.66,235.9,236.38,234.22,235.8,236.44,235.8,234.88
158,237.2,235.48,237.64,235.84,236.36,234.2,235.78,236.4,235.7,234.86
159,237.18,235.48,237.62,235.82,236.34,234.18,235.64,236.36,235.7,234.82
160,237.16,235.34,237.54,235.8,236.32,234.14,235.62,236.34,235.7,234.8
161,237.14,235.34,237.48,235.68,236.28,234.14,235.58,236.32,235.64,234.76
162,237.12,235.28,237.42,235.62,236.26,234.12,235.48,236.2,235.58,234.74
163,237.04,235.2,237.42,235.62,236.18,234.1,235.44,236.16,235.52,234.68
164,237.02,235.18,237.4,235.58,236.16,234.0,235.42,236.08,235.42,234.66
165,236.96,235.14,237.38,235.54,236.12,233.92,235.34,236.06,235.42,234.6
166,236.94,235.1,237.34,235.52,236.04,233.88,235.3,236.06,235.32,234.58
167,236.94,235.04,237.3,235.48,236.04,233.86,235.24,236.04,235.32,234.44
168,236.9,235.02,237.26,235.46,235.98,233.78,235.22,236.02,235.3,234.38
169,236.88,234.9,237.24,235.44,235.98,233.78,235.18,235.98,235.3,234.3
170,236.8,234.9,237.2,235.38,235.92,233.72,235.16,235.98,235.26,234.28
171,236.8,234.9,237.18,235.34,235.82,233.72,235.14,235.96,235.24,234.22
172,236.78,234.86,237.14,235.34,235.76,233.7,235.1,235.96,235.24,234.18
173,236.7,234.82,237.14,235.32,235.72,233.68,235.06,235.86,235.22,234.16
174,236.68,234.72,237.08,235.22,235.68,233.58,235.02,235.84,235.2,234.1
175,236.62,234.7,237.04,235.18,235.62,233.58,235.02,235.78,235.2,234.04
176,236.5,234.68,236.98,235.1,235.5,233.54,234.98,235.72,235.14,233.98
177,236.46,234.58,236.94,235.0,235.46,233.54,234.92,235.72,235.12,233.96
178,236.44,234.56,236.88,234.98,235.4,233.5,234.9,235.7,235.1,233.94
179,236.4,234.54,236.88,234.96,235.32,233.36,234.88,235.64,235.08,233.92
180,236.32,234.46,236.8,234.96,235.28,233.3,234.86,235.62,235.02,233.88
181,236.28,234.36,236.78,234.92,235.2,233.28,234.82,235.62,234.98,233.88
182,236.24,234.34,236.76,234.86,235.14,233.2,234.8,235.62,234.9,233.88
183,236.2,234.26,236.76,234.8,235.06,233.16,234.72,235.6,234.84,233.84
184,236.2,234.2,236.76,234.76,235.02,233.1,234.7,235.58,234.84,233.8
185,236.2,234.16,236.74,234.76,234.96,233.08,234.64,235.56,234.82,233.74
186,236.2,234.16,236.74,234.72,234.96,233.08,234.62,235.5,234.8,233.72
187,236.16,234.16,236.74,234.7,234.9,233.08,234.6,235.48,234.78,233.64
188,236.12,234.1,236.7,234.6,234.86,233.04,234.58,235.46,234.78,233.62
189,236.04,234.06,236.7,234.6,234.8,233.02,234.58,235.46,234.78,233.58
190,236.0,234.02,236.68,234.56,234.78,233.02,234.56,235.44,234.74,233.58
191,235.98,234.0,236.68,234.56,234.78,233.02,234.56,235.42,234.7,233.54
192,235.96,233.94,236.66,234.52,234.76,233.0,234.56,235.4,234.7,233.5
193,235.9,233.92,236.5,234.44,234.76,232.94,234.52,235.38,234.68,233.46
194,235.84,233.9,236.48,234.4,234.72,232.92,234.5,235.36,234.68,233.44
195,235.82,233.84,236.46,234.38,234.7,232.9,234.46,235.32,234.66,233.4
196,235.78,233.72,236.44,234.38,234.62,232.86,234.4,235.3,234.62,233.4
197,235.78,233.6,236.4,234.38,234.6,232.82,234.38,235.28,234.62,233.4
198,235.78,233.58,236.38,234.36,234.56,232.78,234.34,235.26,234.6,233.36
199,235.76,233.56,236.36,234.32,234.54,232.76,234.3,235.26,234.6,233.32
200,235.74,233.54,236.32,234.28,234.54,232.74,234.26,235.24,234.58,233.28
201,235.72,233.5,236.3,234.26,234.5,232.72,234.22,235.24,234.54,233.26
202,235.66,233.48,236.3,234.2,234.44,232.7,234.2,235.2,234.5,233.2
203,235.62,233.4,236.3,234.14,234.42,232.68,234.14,235.14,234.44,233.18
204,235.58,233.34,236.26,234.14,234.36,232.64,234.14,235.12,234.38,233.18
205,235.56,233.34,236.24,234.12,234.34,232.62,234.1,235.04,234.38,233.16
206,235.5,233.32,236.2,234.1,234.28,232.6,233.98,234.98,234.36,233.14
207,235.42,233.3,236.14,234.08,234.26,232.58,233.98,234.98,234.36,233.14
208,235.38,233.26,236.12,234.02,234.22,232.5,233.92,234.92,234.34,233.1
209,235.32,233.24,236.08,234.0,234.22,232.48,233.9,234.9,234.3,233.08
210,235.3,233.24,235.98,233.92,234.2,232.48,233.9,234.9,234.22,233.06
211,235.28,233.22,235.98,233.88,234.18,232.46,233.88,234.84,234.2,233.04
212,235.26,233.14,235.98,233.84,234.12,232.42,233.86,234.82,234.2,233.0
213,235.24,233.12,235.96,233.84,234.1,232.38,233.84,234.78,234.14,232.96
214,235.2,233.12,235.92,233.78,234.08,232.34,233.84,234.74,234.1,232.96
215,235.16,233.12,235.88,233.7,234.04,232.22,233.78,234.74,234.1,232.96
216,235.14,233.1,235.86,233.66,234.02,232.18,233.74,234.72,234.08,232.92
217,235.1,233.06,235.82,233.64,234.02,232.16,233.72,234.68,234.06,232.9
218,235.04,233.04,235.8,233.6,234.02,232.16,233.66,234.68,234.04,232.84
219,235.02,233.02,235.76,233.56,234.0,232.14,233.64,234.64,234.02,232.82
220,234.98,232.98,235.72,233.54,233.98,232.1,233.62,234.62,233.96,232.82
221,234.96,232.98,235.68,233.5,233.94,232.08,233.58,234.62,233.94,232.76
222,234.96,232.94,235.68,233.5,233.88,232.08,233.56,234.6,233.94,232.74
223,234.9,232.9,235.66,233.5,233.84,232.06,233.54,234.54,233.94,232.72
224,234.8,232.86,235.64,233.46,233.82,232.02,233.52,234.52,233.86,232.7
225,234.8,232.86,235.64,233.42,233.82,232.02,233.48,234.52,233.8,232.66
226,234.8,232.84,235.62,233.42,233.78,232.0,233.48,234.5,233.78,232.64
227,234.76,232.76,235.6,233.4,233.78,231.94,233.48,234.5,233.78,232.58
228,234.74,232.74,235.56,233.36,233.78,231.94,233.44,234.46,233.78,232.58
229,234.7,232.72,235.56,233.34,233.78,231.88,233.44,234.4,233.78,232.56
230,234.68,232.72,235.54,233.3,233.74,231.84,233.44,234.36,233.76,232.52
231,234.64,232.7,235.48,233.28,233.68,231.82,233.4,234.3,233.74,232.48
232,234.62,232.68,235.48,233.22,233.68,231.78,233.38,234.26,233.7,232.42
233,234.62,232.66,235.42,233.2,233.64,231.74,233.34,234.26,233.64,232.4
234,234.62,232.58,235.42,233.18,233.62,231.72,233.34,234.2,233.64,232.38
235,234.62,232.56,235.4,233.16,233.62,231.7,233.34,234.18,233.64,232.36
236,234.6,232.54,235.4,233.12,233.6,231.7,233.3,234.16,233.62,232.36
237,234.58,232.54,235.36,233.06,233.58,231.7,233.3,234.16,233.6,232.3
