# started 2026-09-01 10:36:33
# cached: b=0.45, a:2.0->0.0 (p=1.0) (100 trials reused)
# cached: b=0.30, a:2.0->0.0 (p=1.0) (100 trials reused)
10:37:15 | b=0.45, a:3.0->0.0 (p=1.0) | trial  26 | gates= 210 |   40.4s | overall 201/1000
10:37:16 | b=0.45, a:3.0->0.0 (p=1.0) | trial  17 | gates= 220 |   41.3s | overall 202/1000
10:37:16 | b=0.45, a:3.0->0.0 (p=1.0) | trial  21 | gates= 212 |   41.4s | overall 203/1000
10:37:16 | b=0.45, a:3.0->0.0 (p=1.0) | trial   5 | gates= 224 |   41.7s | overall 204/1000
10:37:16 | b=0.45, a:3.0->0.0 (p=1.0) | trial  13 | gates= 220 |   41.7s | overall 205/1000
10:37:16 | b=0.45, a:3.0->0.0 (p=1.0) | trial  15 | gates= 218 |   41.9s | overall 206/1000
10:37:16 | b=0.45, a:3.0->0.0 (p=1.0) | trial  14 | gates= 222 |   42.1s | overall 207/1000
10:37:16 | b=0.45, a:3.0->0.0 (p=1.0) | trial  18 | gates= 222 |   42.1s | overall 208/1000
10:37:16 | b=0.45, a:3.0->0.0 (p=1.0) | trial  22 | gates= 224 |   42.2s | overall 209/1000
10:37:17 | b=0.45, a:3.0->0.0 (p=1.0) | trial  23 | gates= 220 |   42.3s | overall 210/1000
10:37:17 | b=0.45, a:3.0->0.0 (p=1.0) | trial   6 | gates= 224 |   42.5s | overall 211/1000
10:37:17 | b=0.45, a:3.0->0.0 (p=1.0) | trial  16 | gates= 216 |   43.1s | overall 212/1000
10:37:17 | b=0.45, a:3.0->0.0 (p=1.0) | trial  28 | gates= 214 |   43.1s | overall 213/1000
10:37:18 | b=0.45, a:3.0->0.0 (p=1.0) | trial  10 | gates= 216 |   43.7s | overall 214/1000
10:37:18 | b=0.45, a:3.0->0.0 (p=1.0) | trial   9 | gates= 216 |   43.8s | overall 215/1000
10:37:18 | b=0.45, a:3.0->0.0 (p=1.0) | trial  24 | gates= 212 |   44.0s | overall 216/1000
10:37:18 | b=0.45, a:3.0->0.0 (p=1.0) | trial   8 | gates= 218 |   44.3s | overall 217/1000
10:37:19 | b=0.45, a:3.0->0.0 (p=1.0) | trial  27 | gates= 214 |   44.5s | overall 218/1000
10:37:20 | b=0.45, a:3.0->0.0 (p=1.0) | trial  12 | gates= 226 |   45.8s | overall 219/1000
10:37:20 | b=0.45, a:3.0->0.0 (p=1.0) | trial   3 | gates= 214 |   46.4s | overall 220/1000
10:37:20 | b=0.45, a:3.0->0.0 (p=1.0) | trial   7 | gates= 212 |   46.3s | overall 221/1000
10:37:22 | b=0.45, a:3.0->0.0 (p=1.0) | trial  11 | gates= 218 |   47.4s | overall 222/1000
10:37:22 | b=0.45, a:3.0->0.0 (p=1.0) | trial   4 | gates= 218 |   47.5s | overall 223/1000
10:37:22 | b=0.45, a:3.0->0.0 (p=1.0) | trial  25 | gates= 216 |   47.4s | overall 224/1000
10:37:22 | b=0.45, a:3.0->0.0 (p=1.0) | trial  19 | gates= 218 |   47.4s | overall 225/1000
10:37:22 | b=0.45, a:3.0->0.0 (p=1.0) | trial  20 | gates= 212 |   47.5s | overall 226/1000
