Generation,0.05_N10,0.10_N10,0.15_N10,0.20_N10,0.25_N10,0.30_N10,0.35_N10,0.40_N10,0.45_N10,0.50_N10
1,270.26,269.2,269.06,269.12,268.22,268.9,268.0,268.36,268.4,268.3
2,269.52,268.14,267.54,267.14,266.68,266.84,266.48,266.56,266.16,266.22
3,268.9,266.84,266.3,265.7,265.12,265.12,264.7,265.22,264.62,264.28
4,268.26,266.0,265.38,264.74,263.54,264.02,263.38,263.92,263.08,262.98
5,267.8,265.1,264.6,263.8,262.46,262.96,261.94,262.84,261.58,261.9
6,267.28,264.68,263.72,262.92,261.14,261.98,261.12,261.82,260.56,260.78
7,266.74,264.1,263.14,262.18,260.48,260.92,260.12,260.84,259.54,259.44
8,266.46,263.6,262.52,261.32,259.68,260.18,259.4,259.72,258.62,258.6
9,266.12,263.08,261.86,260.36,258.92,259.34,258.64,258.84,257.72,257.76
10,265.62,262.38,261.24,259.68,258.32,258.46,257.62,257.84,256.66,257.0
11,265.32,261.98,260.64,259.16,257.62,257.7,256.98,257.32,256.1,256.36
12,265.04,261.4,260.0,258.48,257.06,257.02,256.32,256.78,255.36,255.76
13,264.84,261.06,259.34,257.78,256.4,256.42,255.9,256.22,254.88,255.18
14,264.54,260.58,258.82,257.28,255.88,255.88,255.28,255.54,254.38,254.72
15,264.12,260.14,258.4,256.7,255.4,255.36,254.76,254.96,253.66,253.88
16,263.68,259.84,258.02,256.3,254.86,254.68,254.28,254.5,252.98,253.5
17,263.26,259.48,257.52,255.66,254.46,254.26,253.68,254.06,252.56,253.24
18,262.96,259.08,257.06,255.3,254.02,253.86,253.4,253.58,252.22,252.86
19,262.8,258.68,256.62,254.84,253.58,253.4,253.06,253.2,251.58,252.26
20,262.44,258.3,256.36,254.42,253.22,253.08,252.58,252.86,251.26,251.86
21,262.08,257.94,255.86,254.06,252.7,252.8,252.12,252.36,250.8,251.44
22,261.76,257.66,255.56,253.5,252.4,252.4,251.68,252.04,250.4,250.78
23,261.3,257.22,254.96,253.22,252.16,252.22,251.3,251.52,249.98,250.46
24,261.12,256.92,254.66,252.86,251.76,251.94,250.94,251.36,249.64,250.06
25,260.86,256.58,254.28,252.6,251.44,251.58,250.56,251.14,249.08,249.66
26,260.54,256.32,253.88,252.42,251.18,251.14,250.14,250.8,248.72,249.3
