# started 2026-09-01 00:19:58
# cached: b=0.50 N=10 (100 trials reused)
00:20:40 | b=0.05 | trial   2 | gates= 250 |   42.0s | overall 101/1000
00:20:40 | b=0.05 | trial  28 | gates= 246 |   41.8s | overall 102/1000
00:20:40 | b=0.05 | trial  16 | gates= 244 |   42.1s | overall 103/1000
00:20:41 | b=0.05 | trial   9 | gates= 230 |   42.4s | overall 104/1000
00:20:41 | b=0.05 | trial  19 | gates= 230 |   42.3s | overall 105/1000
00:20:41 | b=0.05 | trial  17 | gates= 234 |   42.4s | overall 106/1000
00:20:41 | b=0.05 | trial   1 | gates= 238 |   42.9s | overall 107/1000
00:20:41 | b=0.05 | trial  24 | gates= 228 |   42.9s | overall 108/1000
00:20:41 | b=0.05 | trial   5 | gates= 252 |   43.1s | overall 109/1000
00:20:42 | b=0.05 | trial  15 | gates= 234 |   43.3s | overall 110/1000
00:20:42 | b=0.05 | trial  27 | gates= 236 |   43.4s | overall 111/1000
00:20:42 | b=0.05 | trial   7 | gates= 236 |   43.6s | overall 112/1000
00:20:42 | b=0.05 | trial  20 | gates= 234 |   43.6s | overall 113/1000
00:20:42 | b=0.05 | trial  11 | gates= 244 |   43.7s | overall 114/1000
00:20:42 | b=0.05 | trial  26 | gates= 240 |   43.8s | overall 115/1000
00:20:42 | b=0.05 | trial  13 | gates= 240 |   44.1s | overall 116/1000
00:20:42 | b=0.05 | trial  10 | gates= 236 |   44.1s | overall 117/1000
00:20:43 | b=0.05 | trial  23 | gates= 234 |   44.1s | overall 118/1000
00:20:43 | b=0.05 | trial  25 | gates= 248 |   44.5s | overall 119/1000
00:20:44 | b=0.05 | trial  21 | gates= 250 |   45.5s | overall 120/1000
00:20:44 | b=0.05 | trial  22 | gates= 228 |   45.6s | overall 121/1000
00:20:44 | b=0.05 | trial  14 | gates= 234 |   45.7s | overall 122/1000
00:20:44 | b=0.05 | trial   6 | gates= 248 |   45.8s | overall 123/1000
00:20:45 | b=0.05 | trial   4 | gates= 238 |   46.6s | overall 124/1000
00:20:45 | b=0.05 | trial  18 | gates= 242 |   46.6s | overall 125/1000
00:20:45 | b=0.05 | trial   8 | gates= 250 |   46.9s | overall 126/1000
00:20:46 | b=0.05 | trial   3 | gates= 250 |   47.6s | overall 127/1000
00:20:47 | b=0.05 | trial  12 | gates= 250 |   48.2s | overall 128/1000
00:21:22 | b=0.05 | trial  41 | gates= 246 |   40.0s | overall 129/1000
00:21:23 | b=0.05 | trial  33 | gates= 246 |   42.3s | overall 130/1000
00:21:23 | b=0.05 | trial  39 | gates= 242 |   41.3s | overall 131/1000
00:21:23 | b=0.05 | trial  29 | gates= 238 |   43.0s | overall 132/1000
