config,b,num_neighbors,final_avg_gates,final_std,best_gates,worst_gates,median_gates,avg_time_s
C09_b0.45_N10,0.45,10,217.56,5.348,206,232,218.0,43.3
C10_b0.50_N10,0.5,10,218.04,5.953,200,234,218.0,43.78
C05_b0.25_N10,0.25,10,218.44,7.142,200,234,218.0,44.45
C07_b0.35_N10,0.35,10,218.66,5.762,206,232,219.0,44.24
C08_b0.40_N10,0.4,10,218.66,6.034,200,232,219.0,44.4
C06_b0.30_N10,0.3,10,219.02,6.01,202,236,220.0,44.41
C04_b0.20_N10,0.2,10,221.2,6.431,202,236,222.0,44.51
C03_b0.15_N10,0.15,10,224.56,7.316,202,246,224.0,44.78
C02_b0.10_N10,0.1,10,230.08,7.704,204,248,230.0,45.29
C01_b0.05_N10,0.05,10,237.26,7.651,222,256,236.0,44.16
