Generation,d0.001_N10,d0.003_N10,d0.005_N10,d0.008_N10,d0.010_N10,d0.015_N10,d0.018_N10,d0.020_N10,d0.025_N10,d0.030_N10
1,270.26,270.52,270.9,270.56,270.68,270.96,271.26,270.96,270.74,270.38
2,268.46,268.62,268.78,268.38,268.96,268.68,269.0,268.9,268.72,268.48
3,267.36,267.62,267.74,267.28,267.66,267.7,267.78,267.86,267.44,267.78
4,266.66,266.9,266.56,266.56,266.82,266.82,266.72,267.32,266.5,266.7
5,266.02,266.46,266.12,265.68,266.14,266.26,265.38,266.62,266.0,266.02
6,265.58,265.94,265.7,265.2,265.68,265.44,264.9,265.66,265.38,265.4
7,265.3,265.62,265.16,264.6,265.38,264.9,264.62,265.18,264.68,264.48
8,264.94,265.2,264.92,264.26,264.7,264.54,264.36,264.82,264.18,263.74
9,264.8,264.86,264.54,264.08,264.34,264.4,264.06,264.42,263.74,263.34
10,264.5,264.56,264.36,263.74,264.1,264.18,263.74,264.06,263.08,262.96
11,264.32,264.28,264.18,263.58,263.96,263.52,263.54,263.9,262.72,262.74
12,263.98,264.18,263.96,263.48,263.8,263.3,263.38,263.66,262.5,262.42
13,263.88,263.78,263.64,263.32,263.66,263.04,263.26,263.42,262.22,262.08
14,263.64,263.58,263.36,263.16,263.34,262.74,263.02,263.08,262.06,261.78
15,263.58,263.54,263.2,263.1,263.06,262.4,262.86,262.86,261.9,261.44
16,263.48,263.42,262.98,262.9,262.88,262.26,262.68,262.6,261.5,261.08
17,263.28,263.2,262.76,262.82,262.68,262.06,262.48,262.22,261.28,260.84
18,263.22,263.12,262.72,262.62,262.64,261.82,262.0,262.0,261.06,260.76
19,262.96,263.06,262.46,262.54,262.42,261.68,261.78,261.76,260.74,260.48
20,262.86,262.92,262.44,262.52,262.26,261.62,261.66,261.36,260.54,260.12
21,262.82,262.68,262.26,262.42,262.04,261.44,261.42,261.2,260.32,259.64
22,262.66,262.64,262.12,262.36,261.86,261.3,261.2,261.06,260.14,259.46
23,262.64,262.34,262.0,262.32,261.8,261.1,261.0,260.86,259.86,259.3
24,262.56,262.26,261.88,262.2,261.56,260.98,260.68,260.62,259.62,259.16
25,262.42,262.1,261.76,262.06,261.5,260.76,260.56,260.4,259.28,258.8
26,262.38,262.06,261.68,261.82,261.42,260.62,260.22,260.24,259.08,258.6
27,262.36,262.04,261.58,261.72,261.22,260.48,260.08,259.88,259.04,258.38
28,262.3,261.9,261.48,261.64,261.1,260.34,260.0,259.72,258.82,258.1
29,262.26,261.8,261.4,261.52,260.94,260.18,259.82,259.5,258.58,257.96
30,262.12,261.68,261.26,261.38,260.84,260.04,259.44,259.4,258.36,257.68
31,262.1,261.48,261.24,261.22,260.68,259.86,259.26,259.32,258.2,257.54
32,261.98,261.48,261.12,261.06,260.62,259.74,259.1,259.16,258.04,257.42
33,261.96,261.34,261.08,260.88,260.54,259.56,258.94,259.08,257.8,257.1
34,261.94,261.26,260.92,260.74,260.38,259.5,258.88,258.98,257.58,256.88
35,261.92,261.2,260.92,260.6,260.1,259.4,258.66,258.82,257.42,256.86
36,261.78,261.1,260.86,260.5,259.98,259.2,258.56,258.66,257.08,256.62
37,261.62,261.04,260.68,260.28,259.74,259.1,258.4,258.42,257.02,256.36
38,261.56,260.92,260.58,260.12,259.58,259.08,258.26,258.28,257.0,256.16
39,261.54,260.88,260.5,259.9,259.56,259.06,258.12,258.1,256.74,256.0
40,261.5,260.84,260.34,259.86,259.32,258.94,257.98,258.06,256.66,255.88
41,261.44,260.8,260.24,259.82,259.2,258.66,257.88,257.84,256.54,255.62
42,261.3,260.74,260.14,259.76,259.2,258.48,257.84,257.72,256.4,255.44
43,261.26,260.72,260.1,259.7,259.0,258.42,257.72,257.58,256.28,255.34
44,261.26,260.66,259.94,259.68,258.9,258.3,257.66,257.4,256.16,255.2
45,261.18,260.6,259.9,259.62,258.86,258.2,257.5,257.14,256.06,254.98
46,261.18,260.5,259.82,259.48,258.8,258.0,257.34,257.04,256.02,254.78
47,261.12,260.46,259.82,259.44,258.72,257.82,257.18,256.94,255.8,254.7
48,261.1,260.38,259.58,259.38,258.66,257.7,257.06,256.86,255.64,254.44
49,261.1,260.32,259.56,259.3,258.58,257.52,256.94,256.8,255.52,254.34
50,261.1,260.3,259.42,259.26,258.54,257.4,256.82,256.68,255.44,254.14
51,261.06,260.22,259.42,259.12,258.52,257.24,256.78,256.4,255.24,253.98
52,261.02,260.2,259.36,259.1,258.36,257.1,256.74,256.22,254.96,253.86
53,261.02,260.18,259.34,258.96,258.3,256.98,256.56,256.12,254.84,253.48
54,261.0,260.18,259.24,258.9,258.3,256.82,256.48,256.04,254.5,253.42
55,261.0,260.12,259.02,258.86,258.26,256.6,256.34,255.78,254.36,253.24
56,260.86,260.06,258.96,258.82,258.22,256.52,256.24,255.64,254.16,253.2
57,260.76,259.98,258.9,258.64,258.08,256.46,256.2,255.48,254.06,252.98
58,260.7,259.86,258.82,258.6,257.98,256.46,256.04,255.34,253.92,252.78
59,260.6,259.78,258.76,258.5,257.96,256.38,256.0,255.28,253.68,252.54
60,260.52,259.74,258.68,258.38,257.68,256.32,255.94,255.24,253.64,252.22
61,260.48,259.68,258.62,258.34,257.64,256.24,255.9,255.06,253.5,252.06
62,260.36,259.66,258.56,258.34,257.46,256.16,255.7,255.02,253.36,251.9
63,260.26,259.66,258.5,258.34,257.42,256.1,255.64,254.98,253.3,251.8
64,260.18,259.58,258.2,258.2,257.36,256.08,255.52,254.76,253.26,251.66
65,260.18,259.56,258.18,258.12,257.28,256.06,255.36,254.64,253.12,251.36
66,260.06,259.48,258.12,258.06,257.28,255.98,255.28,254.62,252.88,251.16
67,259.96,259.44,258.1,258.0,257.24,255.84,255.2,254.5,252.86,251.14
68,259.88,259.44,258.1,257.9,257.16,255.72,255.12,254.42,252.78,250.96
69,259.84,259.42,258.08,257.86,257.12,255.64,255.06,254.28,252.58,250.84
70,259.82,259.36,258.06,257.86,256.98,255.56,254.98,254.14,252.38,250.56
71,259.82,259.36,258.02,257.74,256.9,255.52,254.92,253.86,252.32,250.3
72,259.82,259.3,258.0,257.74,256.84,255.36,254.82,253.76,252.26,250.06
73,259.82,259.3,258.0,257.7,256.76,255.3,254.52,253.58,252.18,249.9
74,259.76,259.12,257.96,257.7,256.68,255.24,254.42,253.54,252.1,249.52
75,259.76,259.06,257.92,257.7,256.62,255.18,254.32,253.48,251.96,249.44
76,259.72,259.04,257.82,257.62,256.56,255.16,254.18,253.42,251.74,249.28
77,259.7,259.04,257.8,257.54,256.46,255.06,254.16,253.32,251.7,249.04
78,259.7,259.02,257.7,257.52,256.36,254.98,254.12,253.24,251.6,248.92
