# started 2026-08-31 21:19:10
# cached: delta=0.005 N=10 (100 trials reused)
# cached: delta=0.010 N=10 (100 trials reused)
# cached: delta=0.015 N=10 (100 trials reused)
# cached: delta=0.020 N=10 (100 trials reused)
# cached: delta=0.030 N=10 (100 trials reused)
21:20:39 | delta=0.001 | trial  22 | gates= 240 |   88.3s | overall 501/1000
21:20:40 | delta=0.001 | trial  12 | gates= 242 |   89.5s | overall 502/1000
21:20:41 | delta=0.001 | trial  19 | gates= 240 |   89.7s | overall 503/1000
21:20:42 | delta=0.001 | trial  18 | gates= 244 |   91.5s | overall 504/1000
21:20:43 | delta=0.001 | trial  10 | gates= 244 |   91.9s | overall 505/1000
21:20:43 | delta=0.001 | trial   2 | gates= 244 |   92.2s | overall 506/1000
21:20:46 | delta=0.001 | trial  27 | gates= 244 |   95.1s | overall 507/1000
21:20:46 | delta=0.001 | trial  15 | gates= 242 |   95.7s | overall 508/1000
21:20:47 | delta=0.001 | trial  13 | gates= 244 |   96.3s | overall 509/1000
21:20:48 | delta=0.001 | trial  23 | gates= 240 |   96.7s | overall 510/1000
21:20:49 | delta=0.001 | trial  25 | gates= 240 |   98.5s | overall 511/1000
21:20:50 | delta=0.001 | trial   7 | gates= 236 |   99.1s | overall 512/1000
21:20:51 | delta=0.001 | trial   6 | gates= 238 |   99.8s | overall 513/1000
21:20:51 | delta=0.001 | trial   9 | gates= 242 |   99.8s | overall 514/1000
21:20:51 | delta=0.001 | trial  16 | gates= 244 |  100.2s | overall 515/1000
21:20:51 | delta=0.001 | trial   5 | gates= 240 |  100.4s | overall 516/1000
21:20:51 | delta=0.001 | trial   4 | gates= 242 |  100.8s | overall 517/1000
21:20:53 | delta=0.001 | trial  20 | gates= 240 |  102.6s | overall 518/1000
21:20:54 | delta=0.001 | trial   3 | gates= 244 |  103.8s | overall 519/1000
21:20:55 | delta=0.001 | trial  21 | gates= 240 |  103.9s | overall 520/1000
21:20:55 | delta=0.001 | trial   1 | gates= 238 |  104.3s | overall 521/1000
21:20:55 | delta=0.001 | trial  28 | gates= 242 |  104.1s | overall 522/1000
21:20:55 | delta=0.001 | trial  11 | gates= 240 |  104.5s | overall 523/1000
21:20:56 | delta=0.001 | trial   8 | gates= 244 |  105.1s | overall 524/1000
21:20:56 | delta=0.001 | trial  26 | gates= 242 |  105.3s | overall 525/1000
21:20:57 | delta=0.001 | trial  17 | gates= 242 |  106.0s | overall 526/1000
21:20:57 | delta=0.001 | trial  14 | gates= 244 |  106.5s | overall 527/1000
21:20:58 | delta=0.001 | trial  24 | gates= 240 |  107.5s | overall 528/1000
21:22:07 | delta=0.001 | trial  30 | gates= 242 |   86.8s | overall 529/1000
21:22:11 | delta=0.001 | trial  34 | gates= 242 |   87.6s | overall 530/1000
21:22:11 | delta=0.001 | trial  31 | gates= 242 |   90.5s | overall 531/1000
21:22:18 | delta=0.001 | trial  39 | gates= 242 |   89.0s | overall 532/1000
21:22:22 | delta=0.001 | trial  38 | gates= 242 |   94.6s | overall 533/1000
21:22:23 | delta=0.001 | trial  43 | gates= 244 |   92.5s | overall 534/1000
21:22:24 | delta=0.001 | trial  29 | gates= 242 |  104.7s | overall 535/1000
21:22:24 | delta=0.001 | trial  47 | gates= 242 |   89.5s | overall 536/1000
21:22:24 | delta=0.001 | trial  36 | gates= 242 |   98.0s | overall 537/1000
21:22:25 | delta=0.001 | trial  33 | gates= 240 |  102.4s | overall 538/1000
21:22:26 | delta=0.001 | trial  40 | gates= 242 |   96.1s | overall 539/1000
21:22:26 | delta=0.001 | trial  45 | gates= 244 |   94.7s | overall 540/1000
21:22:27 | delta=0.001 | trial  32 | gates= 244 |  104.9s | overall 541/1000
21:22:28 | delta=0.001 | trial  42 | gates= 242 |   97.4s | overall 542/1000
21:22:29 | delta=0.001 | trial  37 | gates= 242 |  101.8s | overall 543/1000
21:22:29 | delta=0.001 | trial  53 | gates= 242 |   93.1s | overall 544/1000
21:22:32 | delta=0.001 | trial  35 | gates= 244 |  105.8s | overall 545/1000
21:22:32 | delta=0.001 | trial  48 | gates= 244 |   97.4s | overall 546/1000
21:22:32 | delta=0.001 | trial  51 | gates= 242 |   96.8s | overall 547/1000
21:22:36 | delta=0.001 | trial  54 | gates= 242 |   99.1s | overall 548/1000
21:22:36 | delta=0.001 | trial  46 | gates= 240 |  102.5s | overall 549/1000
21:22:37 | delta=0.001 | trial  44 | gates= 240 |  106.3s | overall 550/1000
21:22:38 | delta=0.001 | trial  50 | gates= 244 |  102.6s | overall 551/1000
21:22:38 | delta=0.001 | trial  52 | gates= 240 |  102.2s | overall 552/1000
21:22:38 | delta=0.001 | trial  56 | gates= 244 |   99.9s | overall 553/1000
21:22:39 | delta=0.001 | trial  41 | gates= 242 |  108.3s | overall 554/1000
21:22:41 | delta=0.001 | trial  49 | gates= 244 |  105.8s | overall 555/1000
21:22:43 | delta=0.001 | trial  55 | gates= 244 |  106.0s | overall 556/1000
21:23:35 | delta=0.001 | trial  57 | gates= 242 |   87.9s | overall 557/1000
21:23:51 | delta=0.001 | trial  60 | gates= 240 |   92.5s | overall 558/1000
21:23:51 | delta=0.001 | trial  61 | gates= 244 |   89.0s | overall 559/1000
21:23:53 | delta=0.001 | trial  58 | gates= 240 |  102.2s | overall 560/1000
21:23:56 | delta=0.001 | trial  59 | gates= 246 |  105.1s | overall 561/1000
21:23:57 | delta=0.001 | trial  65 | gates= 240 |   92.6s | overall 562/1000
21:23:57 | delta=0.001 | trial  71 | gates= 238 |   88.3s | overall 563/1000
21:23:59 | delta=0.001 | trial  70 | gates= 238 |   90.9s | overall 564/1000
21:24:01 | delta=0.001 | trial  72 | gates= 236 |   91.6s | overall 565/1000
21:24:04 | delta=0.001 | trial  68 | gates= 244 |   97.9s | overall 566/1000
21:24:05 | delta=0.001 | trial  77 | gates= 242 |   89.2s | overall 567/1000
21:24:06 | delta=0.001 | trial  63 | gates= 244 |  102.3s | overall 568/1000
21:24:07 | delta=0.001 | trial  62 | gates= 242 |  103.3s | overall 569/1000
21:24:07 | delta=0.001 | trial  64 | gates= 240 |  103.1s | overall 570/1000
21:24:08 | delta=0.001 | trial  67 | gates= 244 |  102.1s | overall 571/1000
21:24:09 | delta=0.001 | trial  66 | gates= 240 |  103.6s | overall 572/1000
21:24:09 | delta=0.001 | trial  75 | gates= 244 |   97.2s | overall 573/1000
21:24:11 | delta=0.001 | trial  69 | gates= 240 |  103.4s | overall 574/1000
21:24:15 | delta=0.001 | trial  74 | gates= 242 |  102.8s | overall 575/1000
21:24:15 | delta=0.001 | trial  82 | gates= 244 |   96.6s | overall 576/1000
21:24:19 | delta=0.001 | trial  78 | gates= 242 |  101.4s | overall 577/1000
21:24:19 | delta=0.001 | trial  73 | gates= 242 |  107.0s | overall 578/1000
21:24:20 | delta=0.001 | trial  79 | gates= 242 |  102.7s | overall 579/1000
21:24:21 | delta=0.001 | trial  84 | gates= 244 |   97.5s | overall 580/1000
21:24:21 | delta=0.001 | trial  80 | gates= 242 |  103.1s | overall 581/1000
21:24:22 | delta=0.001 | trial  76 | gates= 244 |  106.0s | overall 582/1000
21:24:22 | delta=0.001 | trial  83 | gates= 244 |  101.6s | overall 583/1000
21:24:26 | delta=0.001 | trial  81 | gates= 242 |  108.1s | overall 584/1000
21:25:04 | delta=0.001 | trial  85 | gates= 242 |   88.9s | overall 585/1000
21:25:23 | delta=0.001 | trial  87 | gates= 242 |   91.4s | overall 586/1000
21:25:28 | delta=0.001 | trial  86 | gates= 244 |   96.9s | overall 587/1000
21:25:34 | delta=0.001 | trial  94 | gates= 240 |   89.5s | overall 588/1000
21:25:35 | delta=0.001 | trial  95 | gates= 244 |   89.6s | overall 589/1000
21:25:37 | delta=0.001 | trial  89 | gates= 244 |  101.2s | overall 590/1000
21:25:37 | delta=0.001 | trial  88 | gates= 240 |  104.7s | overall 591/1000
21:25:38 | delta=0.003 | trial   1 | gates= 208 |   88.5s | overall 592/1000
21:25:39 | delta=0.001 | trial  91 | gates= 238 |  101.9s | overall 593/1000
21:25:41 | delta=0.001 | trial  90 | gates= 240 |  104.0s | overall 594/1000
21:25:44 | delta=0.001 | trial  92 | gates= 244 |  104.7s | overall 595/1000
21:25:46 | delta=0.001 | trial  98 | gates= 242 |   98.5s | overall 596/1000
21:25:47 | delta=0.001 | trial  97 | gates= 244 |   99.9s | overall 597/1000
21:25:47 | delta=0.001 | trial  93 | gates= 240 |  106.3s | overall 598/1000
21:25:51 | delta=0.003 | trial   4 | gates= 206 |   95.8s | overall 599/1000
21:25:53 | delta=0.001 | trial  96 | gates= 240 |  107.0s | overall 600/1000
21:25:55 | delta=0.003 | trial   6 | gates= 208 |   95.8s | overall 601/1000
21:25:55 | delta=0.003 | trial   7 | gates= 208 |   94.2s | overall 602/1000
21:25:55 | delta=0.001 | trial  99 | gates= 242 |  106.5s | overall 603/1000
21:25:56 | delta=0.001 | trial 100 | gates= 242 |  106.9s | overall 604/1000
21:26:00 | delta=0.003 | trial   2 | gates= 210 |  106.3s | overall 605/1000
21:26:00 | delta=0.003 | trial  11 | gates= 208 |   97.3s | overall 606/1000
21:26:01 | delta=0.003 | trial   9 | gates= 206 |  100.1s | overall 607/1000
21:26:03 | delta=0.003 | trial   8 | gates= 210 |  102.4s | overall 608/1000
21:26:04 | delta=0.003 | trial   3 | gates= 208 |  108.7s | overall 609/1000
21:26:04 | delta=0.003 | trial   5 | gates= 206 |  104.9s | overall 610/1000
21:26:08 | delta=0.003 | trial  10 | gates= 208 |  106.1s | overall 611/1000
21:26:08 | delta=0.003 | trial  12 | gates= 204 |  102.0s | overall 612/1000
21:26:31 | delta=0.003 | trial  13 | gates= 206 |   87.4s | overall 613/1000
21:26:50 | delta=0.003 | trial  14 | gates= 210 |   87.7s | overall 614/1000
21:27:02 | delta=0.003 | trial  17 | gates= 208 |   87.5s | overall 615/1000
21:27:06 | delta=0.003 | trial  20 | gates= 206 |   88.1s | overall 616/1000
21:27:08 | delta=0.003 | trial  15 | gates= 208 |  100.4s | overall 617/1000
21:27:12 | delta=0.003 | trial  16 | gates= 210 |   98.7s | overall 618/1000
21:27:13 | delta=0.003 | trial  24 | gates= 208 |   87.4s | overall 619/1000
21:27:18 | delta=0.003 | trial  18 | gates= 206 |  100.2s | overall 620/1000
21:27:19 | delta=0.003 | trial  21 | gates= 204 |   99.9s | overall 621/1000
21:27:19 | delta=0.003 | trial  19 | gates= 208 |  101.8s | overall 622/1000
21:27:19 | delta=0.003 | trial  22 | gates= 208 |   98.4s | overall 623/1000
21:27:25 | delta=0.003 | trial  25 | gates= 206 |   98.5s | overall 624/1000
21:27:25 | delta=0.003 | trial  23 | gates= 212 |  101.6s | overall 625/1000
21:27:30 | delta=0.003 | trial  26 | gates= 204 |  102.5s | overall 626/1000
21:27:31 | delta=0.003 | trial  27 | gates= 206 |   99.6s | overall 627/1000
21:27:31 | delta=0.003 | trial  34 | gates= 212 |   91.3s | overall 628/1000
21:27:34 | delta=0.003 | trial  30 | gates= 206 |   99.6s | overall 629/1000
21:27:35 | delta=0.003 | trial  37 | gates= 208 |   91.5s | overall 630/1000
21:27:36 | delta=0.003 | trial  36 | gates= 208 |   92.9s | overall 631/1000
21:27:37 | delta=0.003 | trial  32 | gates= 210 |  101.0s | overall 632/1000
