config,delta_theta,num_neighbors,final_avg_gates,final_std,best_gates,worst_gates,median_gates,avg_time_s
C04_d0.008_N10,0.008,10,183.32,3.023,176,190,184.0,95.18
C05_d0.010_N10,0.01,10,183.7,3.051,176,190,184.0,94.02
C06_d0.015_N10,0.015,10,185.52,3.276,178,192,186.0,93.04
C03_d0.005_N10,0.005,10,185.92,2.667,180,194,186.0,95.8
C07_d0.018_N10,0.018,10,187.74,3.738,178,204,188.0,93.22
C08_d0.020_N10,0.02,10,188.44,4.36,178,198,188.0,92.47
C09_d0.025_N10,0.025,10,191.2,4.427,182,200,192.0,90.69
C10_d0.030_N10,0.03,10,193.18,4.08,186,206,192.0,91.8
C02_d0.003_N10,0.003,10,207.24,2.839,200,214,208.0,97.62
C01_d0.001_N10,0.001,10,241.88,1.976,236,246,242.0,99.02
